CDRDATE,SERVICE_KEY,IS_ROAMING,ISBFT,DIAMETER,TOTAL,REMARK
2023-11-06 07,100,0,0,4012,34570,day0
2023-11-06 07,100,1,0,4012,27,day0
2023-11-06 07,100,0,0,5031,2257,day0
2023-11-06 07,100,1,0,5031,45,day0
2023-11-06 07,100,0,0,,2450,day0
2023-11-06 07,100,1,0,,5,day0
2023-11-06 07,133,0,0,,235,day0
2023-11-06 07,150,0,0,4010,9,day0
2023-11-06 07,150,0,0,5030,80,day0
2023-11-06 07,150,0,0,5031,1,day0
2023-11-06 07,150,0,0,,8,day0
2023-11-06 07,200,0,0,2001,159,day0
2023-11-06 07,200,0,0,4010,1,day0
2023-11-06 07,300,1,0,2001,29,day0
2023-11-06 07,300,1,0,4012,656,day0
2023-11-06 07,300,0,0,5004,1073,day0
2023-11-06 07,300,1,0,5031,15,day0
2023-11-06 08,100,0,0,2001,100421,day0
2023-11-06 08,100,1,0,2001,8,day0
2023-11-06 08,100,0,0,4010,970,day0
2023-11-06 08,100,1,0,4010,1,day0
2023-11-06 08,100,0,0,4012,44124,day0
2023-11-06 08,100,1,0,4012,98,day0
2023-11-06 08,100,0,1,5005,1,day0
2023-11-06 08,100,1,0,5030,1,day0
2023-11-06 08,100,0,0,5031,2716,day0
2023-11-06 08,100,1,0,5031,14,day0
2023-11-06 08,100,0,0,,2687,day0
2023-11-06 08,100,1,0,,2,day0
2023-11-06 08,133,0,0,,233,day0
2023-11-06 08,150,0,0,4010,12,day0
2023-11-06 08,150,0,0,4012,2,day0
2023-11-06 08,150,0,0,5030,80,day0
2023-11-06 08,150,1,0,5030,2,day0
2023-11-06 08,150,0,0,,5,day0
2023-11-06 08,200,0,0,2001,780,day0
2023-11-06 08,200,0,0,4010,1,day0
2023-11-06 08,200,0,0,4012,3,day0
2023-11-06 08,200,0,0,5031,6,day0
2023-11-06 08,300,1,0,2001,171,day0
2023-11-06 08,300,1,0,4012,6361,day0
2023-11-06 08,300,0,0,5004,9091,day0
2023-11-06 08,300,1,0,5031,40,day0
2023-11-06 08,400,1,0,2001,2,day0
2023-11-06 09,100,0,0,2001,111148,day0
2023-11-06 09,100,1,0,2001,9,day0
2023-11-06 09,100,0,0,4010,1158,day0
2023-11-06 09,100,0,0,4012,48075,day0
2023-11-06 09,100,1,0,4012,34,day0
2023-11-06 09,100,0,0,5030,2,day0
2023-11-06 09,100,0,0,5031,4288,day0
2023-11-06 09,100,1,0,5031,19,day0
2023-11-06 09,100,0,0,,2813,day0
2023-11-06 09,133,0,0,,208,day0
2023-11-06 09,150,0,0,2001,4,day0
2023-11-06 09,150,0,0,4010,13,day0
2023-11-06 09,150,0,0,4012,1,day0
2023-11-06 09,150,0,0,5030,79,day0
2023-11-06 09,150,1,0,5030,4,day0
2023-11-06 09,150,0,0,5031,1,day0
