CDRDATE,CP_NAME,CPID,ACCESSFLAG,BASICCAUSE,INTERNALCAUSE,REVENUE,TOTAL,REMARK
2023-11-06 00,PT. Gloria Viva Nusantara,250,72,123,2001,0,6,day0
2023-11-06 00,PT. Gloria Viva Nusantara,250,73,111,4012,0,509,day0
2023-11-06 00,PT. Gloria Viva Nusantara,250,73,23,,243288518,159011,day0
2023-11-06 00,PT. Gloria Viva Nusantara,250,73,6,,341895,258,day0
2023-11-06 00,PT. Gloria Viva Nusantara,250,73,940,4010,0,21,day0
2023-11-06 00,PT. Gloria Viva Nusantara,250,73,940,5031,0,33,day0
2023-11-06 00,PT. Gloria Viva Nusantara,250,73,941,2001,12883,9,day0
2023-11-06 00,SahabatMudaKreatif,252,66,938,2001,0,8,day0
2023-11-06 00,SahabatMudaKreatif,252,73,111,4012,0,53149,day0
2023-11-06 00,SahabatMudaKreatif,252,73,23,,295318,149,day0
2023-11-06 00,SahabatMudaKreatif,252,73,6,,727394,367,day0
2023-11-06 00,SahabatMudaKreatif,252,73,940,4010,0,11,day0
2023-11-06 00,SahabatMudaKreatif,252,73,940,5031,0,158,day0
2023-11-06 00,SahabatMudaKreatif,252,73,941,2001,507392,267,day0
2023-11-06 00,SahabatMudaKreatif,252,73,973,,85226,43,day0
2023-11-06 00,8Elements,254,66,938,2001,0,1,day0
2023-11-06 00,8Elements,254,72,372,2001,0,1,day0
2023-11-06 00,8Elements,254,72,987,2001,0,1,day0
2023-11-06 00,8Elements,254,73,941,2001,991,8,day0
2023-11-06 00,PT. Aman Devloop Indonesia,257,73,111,4012,0,27317,day0
2023-11-06 00,PT. Aman Devloop Indonesia,257,73,23,,7928,8,day0
2023-11-06 00,PT. Aman Devloop Indonesia,257,73,6,,66397,67,day0
2023-11-06 00,PT. Aman Devloop Indonesia,257,73,940,4010,0,20,day0
2023-11-06 00,PT. Aman Devloop Indonesia,257,73,940,5031,0,12,day0
2023-11-06 00,PT. Aman Devloop Indonesia,257,73,941,2001,347841,5119,day0
2023-11-06 00,Hypermind,258,66,938,2001,0,1,day0
2023-11-06 00,Hypermind,258,73,941,2001,0,1,day0
2023-11-06 00,Telesat_System_Integrator,261,73,111,4012,0,1108,day0
2023-11-06 00,Telesat_System_Integrator,261,73,23,,19820,20,day0
2023-11-06 00,Telesat_System_Integrator,261,73,6,,19820,20,day0
2023-11-06 00,Telesat_System_Integrator,261,73,940,5031,0,8,day0
2023-11-06 00,Telesat_System_Integrator,261,73,941,2001,9910,10,day0
2023-11-06 00,Telesat_System_Integrator,261,73,973,,16847,17,day0
2023-11-06 00,Artha_Ghani_Sempurna,263,73,111,4012,0,1074,day0
2023-11-06 00,Artha_Ghani_Sempurna,263,73,23,,1982,2,day0
2023-11-06 00,Artha_Ghani_Sempurna,263,73,940,5031,0,2,day0
2023-11-06 00,Artha_Ghani_Sempurna,263,73,941,2001,37658,44,day0
2023-11-06 00,KEE_Digital,2895,73,111,4012,0,5,day0
2023-11-06 00,KEE_Digital,2895,73,941,2001,9000,20,day0
2023-11-06 00,18 Box Media,2915,72,372,2001,0,23,day0
2023-11-06 00,18 Box Media,2915,72,9,,0,18,day0
2023-11-06 00,18 Box Media,2915,72,940,5031,0,3,day0
2023-11-06 00,18 Box Media,2915,72,987,2001,0,23,day0
2023-11-06 00,18 Box Media,2915,73,111,4012,0,11764,day0
2023-11-06 00,18 Box Media,2915,73,23,,89145,45,day0
2023-11-06 00,18 Box Media,2915,73,6,,57449,29,day0
2023-11-06 00,18 Box Media,2915,73,940,5031,0,7111,day0
2023-11-06 00,18 Box Media,2915,73,941,2001,342713,281,day0
2023-11-06 00,Access Mobile,42,66,938,2001,0,75,day0
2023-11-06 00,Access Mobile,42,67,941,2001,0,158,day0
2023-11-06 00,Triyakom,50,66,938,2001,0,324,day0
2023-11-06 00,Triyakom,50,67,111,4012,0,8,day0
2023-11-06 00,Triyakom,50,67,940,4010,0,1,day0
2023-11-06 00,Triyakom,50,67,940,5030,0,1209,day0
2023-11-06 00,Triyakom,50,67,941,2001,1802,24988,day0
2023-11-06 00,Triyakom,50,68,111,4012,0,29,day0
2023-11-06 00,Triyakom,50,68,949,2001,1846909,210,day0
2023-11-06 00,Triyakom,50,72,123,2001,0,2,day0
2023-11-06 00,Triyakom,50,72,372,2001,0,40,day0
2023-11-06 00,Triyakom,50,72,9,,0,19,day0
2023-11-06 00,Triyakom,50,72,987,2001,0,40,day0
2023-11-06 00,Triyakom,50,73,111,4012,0,26212,day0
2023-11-06 00,Triyakom,50,73,23,,16201,15,day0
2023-11-06 00,Triyakom,50,73,6,,131106,118,day0
2023-11-06 00,Triyakom,50,73,940,5031,0,97,day0
2023-11-06 00,Triyakom,50,73,941,2001,8575323,7774,day0
2023-11-06 00,Triyakom,50,73,973,,2783690,2698,day0
2023-11-06 00,Utopia,51,67,941,2001,0,1,day0
2023-11-06 00,Utopia,51,67,998,,0,765,day0
2023-11-06 00,Utopia,51,73,111,4012,0,329137,day0
2023-11-06 00,Utopia,51,73,23,,9814120,19829,day0
2023-11-06 00,Utopia,51,73,6,,959535,1927,day0
2023-11-06 00,Utopia,51,73,940,4010,0,37,day0
2023-11-06 00,Utopia,51,73,940,5031,0,520,day0
2023-11-06 00,Utopia,51,73,941,2001,13775211,25983,day0
2023-11-06 00,Utopia,51,73,973,,898859,1805,day0
2023-11-06 00,Falcon,52,66,938,2001,0,95,day0
2023-11-06 00,Falcon,52,67,111,4012,0,2,day0
2023-11-06 00,Falcon,52,72,372,2001,0,443,day0
2023-11-06 00,Falcon,52,72,9,,0,327,day0
2023-11-06 00,Falcon,52,72,940,5031,0,7,day0
2023-11-06 00,Falcon,52,72,987,2001,0,443,day0
2023-11-06 00,Falcon,52,73,111,4012,0,232,day0
2023-11-06 00,Falcon,52,73,941,2001,38649,1034,day0
2023-11-06 00,Fortumo,69,67,715,,0,3,day0
2023-11-06 00,Fortumo,69,67,941,2001,0,58,day0
2023-11-06 00,Fortumo,69,68,111,4012,0,80,day0
2023-11-06 00,Fortumo,69,68,949,2001,338341,17,day0
2023-11-06 00,Opera,70,66,938,2001,0,4,day0
2023-11-06 00,Opera,70,67,363,,0,9,day0
2023-11-06 00,Opera,70,67,941,2001,0,2,day0
2023-11-06 00,Opera,70,67,998,,0,85,day0
2023-11-06 00,Opera,70,73,111,4012,0,879,day0
2023-11-06 00,Opera,70,73,23,,114045,104,day0
2023-11-06 00,Opera,70,73,941,2001,99452,93,day0
2023-11-06 00,Opera,70,73,973,,4324,4,day0
2023-11-06 00,Codapay,74,66,938,2001,0,7,day0
2023-11-06 00,Codapay,74,67,41,,0,1,day0
2023-11-06 00,Codapay,74,67,715,,0,12,day0
2023-11-06 00,Codapay,74,67,940,5030,0,10,day0
2023-11-06 00,Codapay,74,67,941,2001,0,486,day0
2023-11-06 00,Codapay,74,68,111,4012,0,31,day0
2023-11-06 00,Codapay,74,68,949,2001,1493349,193,day0
2023-11-06 00,Line,76,68,111,4012,0,5,day0
2023-11-06 00,Line,76,68,949,2001,662374,65,day0
2023-11-06 00,Celltick_Project,77,66,938,2001,0,3,day0
2023-11-06 00,Celltick_Project,77,72,9,,0,1,day0
2023-11-06 00,Celltick_Project,77,73,111,4012,0,49240,day0
2023-11-06 00,Celltick_Project,77,73,23,,786985,912,day0
2023-11-06 00,Celltick_Project,77,73,6,,577058,673,day0
2023-11-06 00,Celltick_Project,77,73,940,4010,0,4,day0
2023-11-06 00,Celltick_Project,77,73,940,5031,0,336,day0
2023-11-06 00,Celltick_Project,77,73,941,2001,1272986,1551,day0
2023-11-06 00,NetM_GooglePlay,78,66,938,2001,0,282,day0
2023-11-06 00,NetM_GooglePlay,78,66,940,5030,0,2,day0
2023-11-06 00,NetM_GooglePlay,78,66,940,5031,0,5,day0
2023-11-06 00,NetM_GooglePlay,78,67,941,2001,0,433,day0
2023-11-06 00,NetM_GooglePlay,78,68,111,4012,0,4018,day0
2023-11-06 00,NetM_GooglePlay,78,68,948,4010,0,2,day0
2023-11-06 00,NetM_GooglePlay,78,68,948,5030,0,3,day0
2023-11-06 00,NetM_GooglePlay,78,68,948,5031,0,24,day0
2023-11-06 00,NetM_GooglePlay,78,68,949,2001,7029921,440,day0
2023-11-06 00,,,66,10,,0,4,day0
2023-11-06 01,MitraComm Ekasarana,100,66,938,2001,7000,14,day0
2023-11-06 01,MitraComm Ekasarana,100,66,940,4012,0,3,day0
2023-11-06 01,MitraComm Ekasarana,100,67,111,4012,0,658,day0
2023-11-06 01,MitraComm Ekasarana,100,67,41,,800,1,day0
2023-11-06 01,MitraComm Ekasarana,100,67,940,4010,0,28,day0
2023-11-06 01,MitraComm Ekasarana,100,67,940,5030,0,96,day0
2023-11-06 01,MitraComm Ekasarana,100,67,940,5031,0,1,day0
2023-11-06 01,MitraComm Ekasarana,100,67,941,2001,92000,115,day0
2023-11-06 01,SPRINT_Strata Prima Internusa,107,66,938,2001,194400,389,day0
2023-11-06 01,SPRINT_Strata Prima Internusa,107,66,940,4012,0,449,day0
2023-11-06 01,SPRINT_Strata Prima Internusa,107,67,111,4012,0,368,day0
2023-11-06 01,SPRINT_Strata Prima Internusa,107,67,940,5030,0,3,day0
2023-11-06 01,SPRINT_Strata Prima Internusa,107,67,941,2001,324600,409,day0
2023-11-06 01,Jatis Mobile,110,66,938,2001,0,8,day0
2023-11-06 01,Jatis Mobile,110,67,111,4012,0,2,day0
2023-11-06 01,Jatis Mobile,110,67,941,2001,495,8,day0
2023-11-06 01,Artajasa,134,66,938,2001,450,1,day0
2023-11-06 01,Artajasa,134,66,940,4012,0,1,day0
2023-11-06 01,Artajasa,134,67,111,4012,0,1,day0
2023-11-06 01,Infinetworks CIMB Niaga,137,66,938,2001,4050,9,day0
2023-11-06 01,Infinetworks CIMB Niaga,137,67,111,4012,0,10,day0
2023-11-06 01,Infinetworks CIMB Niaga,137,67,941,2001,101400,129,day0
2023-11-06 01,Macrokiosk,139,73,941,2001,0,1,day0
