CDRDATE,SERVICE_KEY,IS_ROAMING,DIAMETER,TOTAL,REMARK
24-10-2023 02,300,1,2001.0,16,day1
24-10-2023 02,300,1,4012.0,58,day1
24-10-2023 02,300,1,4012.0,54,day1
24-10-2023 02,300,0,5004.0,83,day1
24-10-2023 02,300,0,5004.0,54,day1
24-10-2023 03,100,0,2001.0,2405,day1
24-10-2023 03,100,0,2001.0,7237,day1
24-10-2023 03,100,0,4010.0,22,day1
24-10-2023 03,100,0,4010.0,78,day1
24-10-2023 03,100,0,4012.0,1163,day1
24-10-2023 03,100,1,4012.0,9,day1
24-10-2023 03,100,1,4012.0,7,day1
24-10-2023 03,100,0,4012.0,3382,day1
24-10-2023 03,100,1,5031.0,4,day1
24-10-2023 03,100,0,5031.0,251,day1
24-10-2023 03,100,0,5031.0,93,day1
24-10-2023 03,100,0,,78,day1
24-10-2023 03,100,1,,1,day1
24-10-2023 03,100,0,,264,day1
24-10-2023 03,133,0,,11,day1
24-10-2023 03,150,0,4010.0,2,day1
24-10-2023 03,150,0,5030.0,1,day1
24-10-2023 03,150,0,5030.0,7,day1
24-10-2023 03,200,0,2001.0,7,day1
24-10-2023 03,200,0,2001.0,20,day1
24-10-2023 03,300,1,2001.0,19,day1
24-10-2023 03,300,1,2001.0,3,day1
24-10-2023 03,300,1,4012.0,22,day1
24-10-2023 03,300,1,4012.0,26,day1
24-10-2023 03,300,0,5004.0,24,day1
24-10-2023 03,300,0,5004.0,32,day1
24-10-2023 03,300,1,5031.0,14,day1
24-10-2023 03,300,1,5031.0,17,day1
24-10-2023 04,100,0,2001.0,12432,day1
24-10-2023 04,100,1,2001.0,1,day1
24-10-2023 04,100,0,2001.0,4014,day1
24-10-2023 04,100,0,4010.0,28,day1
24-10-2023 04,100,1,4010.0,1,day1
24-10-2023 04,100,0,4010.0,106,day1
24-10-2023 04,100,1,4012.0,10,day1
24-10-2023 04,100,0,4012.0,4996,day1
24-10-2023 04,100,0,4012.0,1661,day1
24-10-2023 04,100,1,4012.0,17,day1
24-10-2023 04,100,1,5031.0,2,day1
24-10-2023 04,100,0,5031.0,282,day1
24-10-2023 04,100,1,5031.0,3,day1
24-10-2023 04,100,0,5031.0,101,day1
24-10-2023 04,100,0,,363,day1
24-10-2023 04,100,0,,109,day1
24-10-2023 04,100,1,,2,day1
24-10-2023 04,133,0,,10,day1
24-10-2023 04,150,0,4010.0,1,day1
24-10-2023 04,150,0,5030.0,9,day1
24-10-2023 04,150,0,5030.0,4,day1
24-10-2023 04,200,0,2001.0,32,day1
24-10-2023 04,200,0,2001.0,13,day1
24-10-2023 04,300,1,2001.0,22,day1
24-10-2023 04,300,1,2001.0,5,day1
24-10-2023 04,300,1,4012.0,63,day1
24-10-2023 04,300,1,4012.0,81,day1
24-10-2023 04,300,0,5004.0,8,day1
24-10-2023 04,300,0,5004.0,4,day1
24-10-2023 05,100,0,2001.0,8937,day1
24-10-2023 05,100,1,2001.0,1,day1
24-10-2023 05,100,0,2001.0,26754,day1
24-10-2023 05,100,1,2001.0,1,day1
24-10-2023 05,100,1,4010.0,1,day1
24-10-2023 05,100,1,4010.0,1,day1
24-10-2023 05,100,0,4010.0,66,day1
24-10-2023 05,100,0,4010.0,181,day1
24-10-2023 05,100,1,4012.0,14,day1
24-10-2023 05,100,1,4012.0,13,day1
24-10-2023 05,100,0,4012.0,3685,day1
24-10-2023 05,100,0,4012.0,11236,day1
24-10-2023 05,100,0,5031.0,147,day1
24-10-2023 05,100,1,5031.0,1,day1
24-10-2023 05,100,0,5031.0,467,day1
24-10-2023 05,100,0,,288,day1
24-10-2023 05,100,1,,1,day1
24-10-2023 05,100,0,,829,day1
24-10-2023 05,133,0,,46,day1
24-10-2023 05,150,0,4010.0,1,day1
24-10-2023 05,150,0,4010.0,5,day1
24-10-2023 05,150,0,5030.0,3,day1
24-10-2023 05,150,0,5030.0,11,day1
24-10-2023 05,150,0,,1,day1
24-10-2023 05,150,0,,4,day1
24-10-2023 05,200,0,2001.0,19,day1
24-10-2023 05,200,0,2001.0,68,day1
24-10-2023 05,300,1,2001.0,15,day1
24-10-2023 05,300,1,2001.0,4,day1
24-10-2023 05,300,1,4012.0,92,day1
24-10-2023 05,300,1,4012.0,91,day1
24-10-2023 05,300,0,5004.0,30,day1
24-10-2023 05,300,0,5004.0,36,day1
24-10-2023 06,100,0,2001.0,13991,day1
24-10-2023 06,100,1,2001.0,2,day1
24-10-2023 06,100,0,2001.0,41436,day1
24-10-2023 06,100,1,2001.0,2,day1
24-10-2023 06,100,0,4010.0,93,day1
24-10-2023 06,100,0,4010.0,271,day1
24-10-2023 06,100,1,4012.0,31,day1
24-10-2023 06,100,0,4012.0,18965,day1
24-10-2023 06,100,1,4012.0,26,day1
24-10-2023 06,100,0,4012.0,6268,day1
24-10-2023 06,100,0,5000.0,7,day1
24-10-2023 06,100,0,5031.0,259,day1
24-10-2023 06,100,1,5031.0,9,day1
24-10-2023 06,100,0,5031.0,746,day1
24-10-2023 06,100,1,5031.0,5,day1
24-10-2023 06,100,0,,505,day1
24-10-2023 06,100,0,,1521,day1
24-10-2023 06,100,1,,3,day1
24-10-2023 06,100,1,,3,day1
24-10-2023 06,133,0,,119,day1
24-10-2023 06,150,0,4010.0,1,day1
24-10-2023 06,150,0,4010.0,5,day1
24-10-2023 06,150,0,5030.0,17,day1
24-10-2023 06,150,0,5030.0,8,day1
24-10-2023 06,150,0,5031.0,1,day1
24-10-2023 06,150,1,,1,day1
24-10-2023 06,150,0,,1,day1
24-10-2023 06,200,0,2001.0,84,day1
24-10-2023 06,200,0,2001.0,28,day1
24-10-2023 06,300,1,2001.0,12,day1
24-10-2023 06,300,1,2001.0,24,day1
24-10-2023 06,300,1,4012.0,83,day1
24-10-2023 06,300,1,4012.0,70,day1
24-10-2023 06,300,0,5004.0,24,day1
24-10-2023 06,300,0,5004.0,41,day1
24-10-2023 07,100,0,2001.0,52750,day1
24-10-2023 07,100,0,2001.0,17969,day1
24-10-2023 07,100,1,2001.0,1,day1
24-10-2023 07,100,0,4010.0,82,day1
24-10-2023 07,100,0,4010.0,270,day1
24-10-2023 07,100,1,4012.0,12,day1
24-10-2023 07,100,0,4012.0,8293,day1
24-10-2023 07,100,1,4012.0,5,day1
24-10-2023 07,100,0,4012.0,24374,day1
24-10-2023 07,100,0,5000.0,8,day1
24-10-2023 07,100,0,5000.0,2,day1
24-10-2023 07,100,0,5005.0,1,day1
24-10-2023 07,100,0,5031.0,365,day1
24-10-2023 07,100,1,5031.0,2,day1
24-10-2023 07,100,1,5031.0,3,day1
24-10-2023 07,100,0,5031.0,1144,day1
24-10-2023 07,100,0,,557,day1
24-10-2023 07,100,1,,2,day1
24-10-2023 07,100,1,,2,day1
24-10-2023 07,100,0,,1694,day1
24-10-2023 07,133,0,,163,day1
24-10-2023 07,150,0,4010.0,4,day1
24-10-2023 07,150,0,4010.0,4,day1
24-10-2023 07,150,0,5030.0,21,day1
24-10-2023 07,150,0,5030.0,43,day1
24-10-2023 07,150,0,,2,day1
24-10-2023 07,150,0,,2,day1
24-10-2023 07,200,0,2001.0,53,day1
24-10-2023 07,200,0,2001.0,170,day1
24-10-2023 07,200,0,4010.0,1,day1
24-10-2023 07,200,0,4012.0,1,day1
24-10-2023 07,200,0,5031.0,2,day1
24-10-2023 07,200,0,5031.0,1,day1
24-10-2023 07,300,1,2001.0,15,day1
24-10-2023 07,300,1,2001.0,32,day1
24-10-2023 07,300,1,4012.0,193,day1
24-10-2023 07,300,1,4012.0,271,day1
24-10-2023 07,300,0,5004.0,356,day1
24-10-2023 07,300,0,5004.0,285,day1
24-10-2023 07,300,1,5031.0,5,day1
24-10-2023 07,300,1,5031.0,9,day1
24-10-2023 08,100,0,2001.0,69347,day1
24-10-2023 08,100,0,2001.0,23489,day1
24-10-2023 08,100,0,4010.0,344,day1
24-10-2023 08,100,0,4010.0,132,day1
24-10-2023 08,100,1,4012.0,24,day1
24-10-2023 08,100,1,4012.0,25,day1
24-10-2023 08,100,0,4012.0,10467,day1
24-10-2023 08,100,0,4012.0,30936,day1
24-10-2023 08,100,0,5000.0,1,day1
24-10-2023 08,100,0,5000.0,6,day1
24-10-2023 08,100,0,5005.0,1,day1
24-10-2023 08,100,1,5031.0,4,day1
24-10-2023 08,100,0,5031.0,505,day1
24-10-2023 08,100,0,5031.0,1524,day1
24-10-2023 08,100,0,,591,day1
24-10-2023 08,100,1,,3,day1
24-10-2023 08,100,0,,1906,day1
24-10-2023 08,133,0,,222,day1
24-10-2023 08,150,0,4010.0,7,day1
24-10-2023 08,150,0,4010.0,2,day1
24-10-2023 08,150,0,5030.0,15,day1
24-10-2023 08,150,0,5030.0,37,day1
24-10-2023 08,150,0,,2,day1
24-10-2023 08,150,0,,2,day1
24-10-2023 08,200,0,2001.0,351,day1
24-10-2023 08,200,0,2001.0,969,day1
24-10-2023 08,200,0,4012.0,9,day1
24-10-2023 08,200,0,4012.0,2,day1
24-10-2023 08,200,0,5031.0,1,day1
24-10-2023 08,200,0,5031.0,1,day1
24-10-2023 08,200,0,,1,day1
24-10-2023 08,300,1,2001.0,196,day1
24-10-2023 08,300,1,2001.0,101,day1
24-10-2023 08,300,1,4012.0,930,day1
24-10-2023 08,300,1,4012.0,1399,day1
24-10-2023 08,300,0,5004.0,1398,day1
24-10-2023 08,300,0,5004.0,1780,day1
24-10-2023 08,300,1,5031.0,6,day1
24-10-2023 08,300,1,5031.0,5,day1
24-10-2023 08,400,1,4012.0,1,day1
24-10-2023 08,400,0,5004.0,1,day1
24-10-2023 08,400,0,5004.0,1,day1
24-10-2023 09,100,0,2001.0,78036,day1
24-10-2023 09,100,1,2001.0,2,day1
24-10-2023 09,100,0,2001.0,26824,day1
24-10-2023 09,100,0,4010.0,157,day1
24-10-2023 09,100,0,4010.0,470,day1
24-10-2023 09,100,1,4012.0,20,day1
24-10-2023 09,100,0,4012.0,35439,day1
24-10-2023 09,100,0,4012.0,12207,day1
24-10-2023 09,100,1,4012.0,22,day1
24-10-2023 09,100,0,5000.0,2,day1
24-10-2023 09,100,1,5031.0,9,day1
24-10-2023 09,100,0,5031.0,697,day1
24-10-2023 09,100,1,5031.0,8,day1
24-10-2023 09,100,0,5031.0,2001,day1
24-10-2023 09,100,0,,694,day1
24-10-2023 09,100,0,,2073,day1
24-10-2023 09,133,0,,211,day1
24-10-2023 09,150,0,4010.0,3,day1
24-10-2023 09,150,0,4010.0,14,day1
24-10-2023 09,150,0,5030.0,46,day1
24-10-2023 09,150,0,5030.0,20,day1
24-10-2023 09,150,0,5031.0,3,day1
24-10-2023 09,150,0,,5,day1
24-10-2023 09,150,0,,6,day1
24-10-2023 09,200,0,2001.0,1850,day1
24-10-2023 09,200,0,2001.0,626,day1
24-10-2023 09,200,0,4010.0,1,day1
24-10-2023 09,200,0,4010.0,2,day1
24-10-2023 09,200,0,4012.0,44,day1
24-10-2023 09,200,0,4012.0,17,day1
24-10-2023 09,200,0,5031.0,10,day1
24-10-2023 09,200,0,5031.0,3,day1
24-10-2023 09,300,1,2001.0,164,day1
24-10-2023 09,300,1,2001.0,107,day1
24-10-2023 09,300,1,4012.0,1190,day1
24-10-2023 09,300,1,4012.0,1839,day1
24-10-2023 09,300,0,5004.0,1574,day1
24-10-2023 09,300,0,5004.0,1139,day1
24-10-2023 09,300,1,5031.0,27,day1
24-10-2023 09,300,1,5031.0,12,day1
24-10-2023 09,400,1,2001.0,2,day1
24-10-2023 09,400,1,4012.0,1,day1
24-10-2023 09,400,1,4012.0,1,day1
24-10-2023 09,400,0,5004.0,2,day1
24-10-2023 10,100,1,2001.0,5,day1
24-10-2023 10,100,0,2001.0,83442,day1
24-10-2023 10,100,1,2001.0,6,day1
24-10-2023 10,100,0,2001.0,28633,day1
24-10-2023 10,100,0,4010.0,152,day1
24-10-2023 10,100,0,4010.0,432,day1
24-10-2023 10,100,1,4010.0,1,day1
24-10-2023 10,100,0,4012.0,36566,day1
24-10-2023 10,100,0,4012.0,12509,day1
24-10-2023 10,100,1,4012.0,25,day1
24-10-2023 10,100,1,4012.0,36,day1
24-10-2023 10,100,1,5031.0,3,day1
24-10-2023 10,100,0,5031.0,2273,day1
24-10-2023 10,100,1,5031.0,2,day1
24-10-2023 10,100,0,5031.0,766,day1
24-10-2023 10,100,0,,2166,day1
24-10-2023 10,100,1,,3,day1
24-10-2023 10,100,0,,737,day1
24-10-2023 10,133,0,,194,day1
24-10-2023 10,150,0,4010.0,2,day1
24-10-2023 10,150,0,4010.0,7,day1
24-10-2023 10,150,0,5030.0,61,day1
24-10-2023 10,150,0,5030.0,14,day1
24-10-2023 10,150,0,5031.0,1,day1
24-10-2023 10,150,0,,6,day1
24-10-2023 10,150,0,,2,day1
24-10-2023 10,200,0,2001.0,660,day1
24-10-2023 10,200,0,2001.0,2022,day1
24-10-2023 10,200,0,4012.0,3,day1
24-10-2023 10,200,0,5031.0,3,day1
24-10-2023 10,200,0,5031.0,15,day1
24-10-2023 10,200,0,,1,day1
24-10-2023 10,200,0,,1,day1
24-10-2023 10,300,1,2001.0,341,day1
24-10-2023 10,300,1,2001.0,152,day1
24-10-2023 10,300,1,4012.0,1815,day1
24-10-2023 10,300,1,4012.0,1367,day1
24-10-2023 10,300,1,5000.0,1,day1
24-10-2023 10,300,0,5004.0,1613,day1
24-10-2023 10,300,0,5004.0,2279,day1
24-10-2023 10,300,1,5031.0,12,day1
24-10-2023 10,300,1,5031.0,18,day1
24-10-2023 10,400,1,2001.0,1,day1
24-10-2023 10,400,0,5004.0,2,day1
24-10-2023 10,400,0,5004.0,1,day1
24-10-2023 11,100,0,2001.0,81529,day1
24-10-2023 11,100,1,2001.0,3,day1
24-10-2023 11,100,0,2001.0,28130,day1
24-10-2023 11,100,1,2001.0,2,day1
24-10-2023 11,100,0,4010.0,478,day1
24-10-2023 11,100,0,4010.0,141,day1
24-10-2023 11,100,1,4010.0,1,day1
24-10-2023 11,100,1,4012.0,20,day1
24-10-2023 11,100,1,4012.0,29,day1
24-10-2023 11,100,0,4012.0,12368,day1
24-10-2023 11,100,0,4012.0,36049,day1
24-10-2023 11,100,0,5000.0,1,day1
24-10-2023 11,100,0,5005.0,2,day1
24-10-2023 11,100,0,5031.0,683,day1
24-10-2023 11,100,1,5031.0,12,day1
24-10-2023 11,100,1,5031.0,7,day1
24-10-2023 11,100,0,5031.0,2103,day1
24-10-2023 11,100,0,,741,day1
24-10-2023 11,100,1,,2,day1
24-10-2023 11,100,0,,2127,day1
24-10-2023 11,133,0,,160,day1
24-10-2023 11,150,0,4010.0,8,day1
24-10-2023 11,150,0,4010.0,4,day1
24-10-2023 11,150,0,4012.0,1,day1
24-10-2023 11,150,0,5030.0,12,day1
24-10-2023 11,150,0,5030.0,41,day1
24-10-2023 11,150,0,5031.0,2,day1
24-10-2023 11,150,0,5031.0,1,day1
24-10-2023 11,150,0,,2,day1
24-10-2023 11,150,0,,3,day1
24-10-2023 11,200,0,2001.0,1795,day1
24-10-2023 11,200,0,2001.0,606,day1
24-10-2023 11,200,0,4012.0,2,day1
24-10-2023 11,200,0,5031.0,8,day1
24-10-2023 11,200,0,5031.0,5,day1
24-10-2023 11,200,0,,3,day1
24-10-2023 11,200,0,,2,day1
24-10-2023 11,300,1,2001.0,88,day1
24-10-2023 11,300,1,2001.0,150,day1
24-10-2023 11,300,1,4012.0,1572,day1
24-10-2023 11,300,1,4012.0,975,day1
24-10-2023 11,300,0,5004.0,1722,day1
24-10-2023 11,300,0,5004.0,1143,day1
24-10-2023 11,300,1,5031.0,20,day1
24-10-2023 11,300,1,5031.0,10,day1
24-10-2023 11,400,1,2001.0,3,day1
24-10-2023 11,400,1,2001.0,1,day1
24-10-2023 11,400,0,5004.0,1,day1
24-10-2023 11,400,0,5004.0,4,day1
24-10-2023 12,100,1,2001.0,1,day1
24-10-2023 12,100,1,2001.0,2,day1
24-10-2023 12,100,0,2001.0,82403,day1
24-10-2023 12,100,0,2001.0,28473,day1
24-10-2023 12,100,0,4010.0,134,day1
24-10-2023 12,100,0,4010.0,451,day1
24-10-2023 12,100,0,4012.0,13037,day1
24-10-2023 12,100,1,4012.0,34,day1
24-10-2023 12,100,1,4012.0,27,day1
24-10-2023 12,100,0,4012.0,38171,day1
24-10-2023 12,100,0,5000.0,2,day1
24-10-2023 12,100,0,5030.0,1,day1
24-10-2023 12,100,1,5031.0,4,day1
24-10-2023 12,100,0,5031.0,2124,day1
24-10-2023 12,100,0,5031.0,759,day1
24-10-2023 12,100,1,,1,day1
24-10-2023 12,100,1,,1,day1
24-10-2023 12,100,0,,796,day1
24-10-2023 12,100,0,,2537,day1
24-10-2023 12,133,0,,196,day1
24-10-2023 12,150,0,2001.0,1,day1
24-10-2023 12,150,0,4010.0,1,day1
24-10-2023 12,150,0,4010.0,7,day1
24-10-2023 12,150,0,5030.0,15,day1
24-10-2023 12,150,0,5030.0,52,day1
24-10-2023 12,150,0,5031.0,1,day1
24-10-2023 12,150,0,5031.0,1,day1
24-10-2023 12,150,0,,7,day1
24-10-2023 12,150,0,,2,day1
24-10-2023 12,200,0,2001.0,447,day1
24-10-2023 12,200,0,2001.0,140,day1
24-10-2023 12,200,0,4012.0,1,day1
24-10-2023 12,200,0,5031.0,1,day1
24-10-2023 12,200,0,5031.0,7,day1
24-10-2023 12,300,1,2001.0,68,day1
24-10-2023 12,300,1,2001.0,162,day1
24-10-2023 12,300,1,4012.0,1229,day1
24-10-2023 12,300,1,4012.0,1670,day1
24-10-2023 12,300,0,5004.0,2207,day1
24-10-2023 12,300,0,5004.0,1884,day1
24-10-2023 12,300,1,5031.0,16,day1
24-10-2023 12,300,1,5031.0,26,day1
24-10-2023 12,400,1,2001.0,3,day1
24-10-2023 12,400,1,2001.0,1,day1
24-10-2023 12,400,0,5004.0,3,day1
24-10-2023 13,100,0,2001.0,15526,day1
24-10-2023 13,100,1,2001.0,1,day1
24-10-2023 13,100,0,2001.0,44212,day1
24-10-2023 13,100,1,2001.0,3,day1
24-10-2023 13,100,0,4010.0,247,day1
24-10-2023 13,100,0,4010.0,93,day1
24-10-2023 13,100,0,4012.0,7121,day1
24-10-2023 13,100,1,4012.0,22,day1
24-10-2023 13,100,0,4012.0,20255,day1
24-10-2023 13,100,1,4012.0,16,day1
24-10-2023 13,100,0,5000.0,1,day1
24-10-2023 13,100,0,5030.0,1,day1
24-10-2023 13,100,1,5031.0,3,day1
24-10-2023 13,100,1,5031.0,4,day1
24-10-2023 13,100,0,5031.0,468,day1
24-10-2023 13,100,0,5031.0,1292,day1
24-10-2023 13,100,0,,1271,day1
24-10-2023 13,100,0,,423,day1
24-10-2023 13,100,1,,1,day1
24-10-2023 13,133,0,,109,day1
24-10-2023 13,150,0,4010.0,2,day1
24-10-2023 13,150,0,4012.0,1,day1
24-10-2023 13,150,1,5030.0,1,day1
24-10-2023 13,150,0,5030.0,6,day1
24-10-2023 13,150,0,5030.0,24,day1
24-10-2023 13,150,0,,1,day1
24-10-2023 13,150,0,,1,day1
24-10-2023 13,200,0,2001.0,775,day1
24-10-2023 13,200,0,2001.0,213,day1
24-10-2023 13,200,0,5031.0,2,day1
24-10-2023 13,200,0,5031.0,2,day1
24-10-2023 13,300,1,2001.0,105,day1
24-10-2023 13,300,1,2001.0,48,day1
24-10-2023 13,300,1,4012.0,623,day1
24-10-2023 13,300,1,4012.0,885,day1
24-10-2023 13,300,0,5004.0,924,day1
24-10-2023 13,300,0,5004.0,760,day1
24-10-2023 13,300,1,5031.0,11,day1
24-10-2023 13,300,1,5031.0,5,day1
24-10-2023 13,400,0,5004.0,1,day1
25-10-2023 00,100,0,2001.0,25,day1
25-10-2023 00,100,0,2001.0,85,day1
25-10-2023 00,100,0,4010.0,2,day1
25-10-2023 00,100,0,4012.0,22,day1
25-10-2023 00,100,0,4012.0,70,day1
25-10-2023 00,100,0,5031.0,23,day1
25-10-2023 00,100,0,5031.0,18,day1
25-10-2023 00,100,0,,2,day1
25-10-2023 00,100,0,,3,day1
25-10-2023 00,300,0,5004.0,1,day1
18-10-2023 00,100,1,2001.0,1,day7
18-10-2023 00,100,0,2001.0,18199,day7
18-10-2023 00,100,1,2001.0,1,day7
18-10-2023 00,100,0,2001.0,6128,day7
18-10-2023 00,100,0,4010.0,19,day7
18-10-2023 00,100,0,4010.0,61,day7
18-10-2023 00,100,0,4012.0,3024,day7
18-10-2023 00,100,1,4012.0,17,day7
18-10-2023 00,100,0,4012.0,8913,day7
18-10-2023 00,100,1,4012.0,24,day7
18-10-2023 00,100,0,5031.0,559,day7
18-10-2023 00,100,1,5031.0,6,day7
18-10-2023 00,100,0,5031.0,162,day7
18-10-2023 00,100,1,5031.0,9,day7
18-10-2023 00,100,1,,1,day7
18-10-2023 00,100,1,,1,day7
18-10-2023 00,100,0,,198,day7
18-10-2023 00,100,0,,599,day7
18-10-2023 00,133,0,,31,day7
18-10-2023 00,150,0,4010.0,6,day7
18-10-2023 00,150,0,5030.0,21,day7
18-10-2023 00,150,0,5030.0,7,day7
18-10-2023 00,150,1,5030.0,1,day7
18-10-2023 00,150,0,5031.0,1,day7
18-10-2023 00,150,0,,1,day7
18-10-2023 00,150,0,,2,day7
18-10-2023 00,200,0,2001.0,19,day7
18-10-2023 00,200,0,2001.0,8,day7
18-10-2023 00,200,0,4012.0,1,day7
18-10-2023 00,200,0,5031.0,1,day7
18-10-2023 00,300,1,2001.0,7,day7
18-10-2023 00,300,1,2001.0,2,day7
18-10-2023 00,300,1,4012.0,153,day7
18-10-2023 00,300,1,4012.0,156,day7
18-10-2023 00,300,0,5004.0,64,day7
18-10-2023 00,300,0,5004.0,50,day7
18-10-2023 01,100,1,2001.0,3,day7
18-10-2023 01,100,0,2001.0,11694,day7
18-10-2023 01,100,1,2001.0,2,day7
18-10-2023 01,100,0,2001.0,3908,day7
18-10-2023 01,100,0,4010.0,57,day7
18-10-2023 01,100,0,4010.0,14,day7
18-10-2023 01,100,1,4012.0,10,day7
18-10-2023 01,100,0,4012.0,5734,day7
18-10-2023 01,100,0,4012.0,2076,day7
18-10-2023 01,100,1,4012.0,15,day7
18-10-2023 01,100,0,5000.0,7,day7
18-10-2023 01,100,0,5000.0,45,day7
18-10-2023 01,100,1,5031.0,1,day7
18-10-2023 01,100,0,5031.0,280,day7
18-10-2023 01,100,0,5031.0,97,day7
18-10-2023 01,100,1,5031.0,2,day7
18-10-2023 01,100,0,,438,day7
18-10-2023 01,100,1,,1,day7
18-10-2023 01,100,0,,140,day7
18-10-2023 01,133,0,,23,day7
18-10-2023 01,150,0,4010.0,1,day7
18-10-2023 01,150,0,5030.0,7,day7
18-10-2023 01,150,0,5030.0,8,day7
18-10-2023 01,150,0,5031.0,1,day7
18-10-2023 01,200,0,2001.0,16,day7
18-10-2023 01,200,0,2001.0,6,day7
18-10-2023 01,300,1,2001.0,4,day7
18-10-2023 01,300,1,2001.0,10,day7
18-10-2023 01,300,1,4012.0,287,day7
18-10-2023 01,300,1,4012.0,322,day7
18-10-2023 01,300,0,5004.0,122,day7
18-10-2023 01,300,0,5004.0,124,day7
18-10-2023 02,100,0,2001.0,8163,day7
18-10-2023 02,100,0,2001.0,2745,day7
18-10-2023 02,100,1,2001.0,1,day7
18-10-2023 02,100,0,4010.0,34,day7
18-10-2023 02,100,0,4010.0,14,day7
18-10-2023 02,100,1,4012.0,9,day7
18-10-2023 02,100,0,4012.0,4311,day7
18-10-2023 02,100,1,4012.0,12,day7
18-10-2023 02,100,0,4012.0,1429,day7
18-10-2023 02,100,0,5031.0,69,day7
18-10-2023 02,100,0,5031.0,227,day7
18-10-2023 02,100,0,,114,day7
18-10-2023 02,100,0,,314,day7
18-10-2023 02,133,0,,21,day7
18-10-2023 02,150,0,5030.0,14,day7
18-10-2023 02,150,0,5030.0,2,day7
18-10-2023 02,150,0,,1,day7
18-10-2023 02,200,0,2001.0,12,day7
18-10-2023 02,200,0,2001.0,8,day7
18-10-2023 02,300,1,2001.0,2,day7
18-10-2023 02,300,1,2001.0,1,day7
18-10-2023 02,300,1,4012.0,59,day7
18-10-2023 02,300,1,4012.0,47,day7
18-10-2023 02,300,0,5004.0,21,day7
18-10-2023 02,300,0,5004.0,23,day7
18-10-2023 03,100,1,2001.0,1,day7
18-10-2023 03,100,0,2001.0,2374,day7
18-10-2023 03,100,0,2001.0,7177,day7
18-10-2023 03,100,0,4010.0,47,day7
18-10-2023 03,100,0,4010.0,18,day7
18-10-2023 03,100,0,4012.0,1207,day7
18-10-2023 03,100,1,4012.0,2,day7
18-10-2023 03,100,0,4012.0,3661,day7
18-10-2023 03,100,1,4012.0,3,day7
18-10-2023 03,100,0,5031.0,170,day7
18-10-2023 03,100,0,5031.0,68,day7
18-10-2023 03,100,1,5031.0,1,day7
18-10-2023 03,100,1,5031.0,1,day7
18-10-2023 03,100,0,,250,day7
18-10-2023 03,100,1,,1,day7
18-10-2023 03,100,0,,85,day7
18-10-2023 03,133,0,,8,day7
18-10-2023 03,150,0,4010.0,3,day7
18-10-2023 03,150,0,4012.0,1,day7
18-10-2023 03,150,0,5030.0,7,day7
18-10-2023 03,150,0,5030.0,2,day7
18-10-2023 03,150,0,,2,day7
18-10-2023 03,200,0,2001.0,9,day7
18-10-2023 03,200,0,2001.0,2,day7
18-10-2023 03,300,1,2001.0,4,day7
18-10-2023 03,300,1,4012.0,22,day7
18-10-2023 03,300,1,4012.0,30,day7
18-10-2023 03,300,0,5004.0,39,day7
18-10-2023 03,300,0,5004.0,29,day7
18-10-2023 04,100,0,2001.0,12227,day7
18-10-2023 04,100,0,2001.0,4127,day7
18-10-2023 04,100,1,2001.0,2,day7
18-10-2023 04,100,0,4010.0,66,day7
18-10-2023 04,100,0,4010.0,23,day7
18-10-2023 04,100,0,4012.0,5416,day7
18-10-2023 04,100,1,4012.0,2,day7
18-10-2023 04,100,0,4012.0,1834,day7
18-10-2023 04,100,1,4012.0,5,day7
18-10-2023 04,100,0,5031.0,73,day7
18-10-2023 04,100,0,5031.0,214,day7
18-10-2023 04,100,0,,385,day7
18-10-2023 04,100,0,,108,day7
18-10-2023 04,100,1,,1,day7
18-10-2023 04,133,0,,8,day7
18-10-2023 04,150,0,4010.0,1,day7
18-10-2023 04,150,0,4010.0,3,day7
18-10-2023 04,150,0,5030.0,2,day7
18-10-2023 04,150,0,5030.0,2,day7
18-10-2023 04,150,0,,1,day7
18-10-2023 04,200,0,2001.0,18,day7
18-10-2023 04,200,0,2001.0,37,day7
18-10-2023 04,200,0,,1,day7
18-10-2023 04,300,1,2001.0,2,day7
18-10-2023 04,300,1,4012.0,26,day7
18-10-2023 04,300,1,4012.0,49,day7
18-10-2023 04,300,0,5004.0,8,day7
18-10-2023 04,300,0,5004.0,2,day7
18-10-2023 05,100,1,2001.0,1,day7
18-10-2023 05,100,0,2001.0,8969,day7
18-10-2023 05,100,0,2001.0,26800,day7
18-10-2023 05,100,1,2001.0,1,day7
18-10-2023 05,100,0,4010.0,27,day7
18-10-2023 05,100,0,4010.0,111,day7
18-10-2023 05,100,1,4012.0,9,day7
18-10-2023 05,100,0,4012.0,11144,day7
18-10-2023 05,100,0,4012.0,3697,day7
18-10-2023 05,100,1,4012.0,7,day7
18-10-2023 05,100,0,5031.0,514,day7
18-10-2023 05,100,0,5031.0,204,day7
18-10-2023 05,100,1,5031.0,1,day7
18-10-2023 05,100,1,5031.0,2,day7
18-10-2023 05,100,0,,798,day7
18-10-2023 05,100,1,,3,day7
18-10-2023 05,100,1,,1,day7
18-10-2023 05,100,0,,278,day7
18-10-2023 05,133,0,,34,day7
18-10-2023 05,150,0,4010.0,2,day7
18-10-2023 05,150,0,5030.0,9,day7
18-10-2023 05,150,0,5030.0,32,day7
18-10-2023 05,150,0,,1,day7
18-10-2023 05,150,1,,1,day7
