CDRDATE,SERVICE_KEY,IS_ROAMING,DIAMETER,TOTAL,REMARK
25-10-2023 04,100,1,5031.0,1,day0
25-10-2023 04,100,1,5031.0,2,day0
25-10-2023 04,100,0,5031.0,102,day0
25-10-2023 04,100,0,,165,day0
25-10-2023 04,100,1,,3,day0
25-10-2023 04,100,0,,457,day0
25-10-2023 04,133,0,,17,day0
25-10-2023 04,150,0,4010.0,1,day0
25-10-2023 04,150,0,5030.0,7,day0
25-10-2023 04,150,0,5030.0,2,day0
25-10-2023 04,150,1,,1,day0
25-10-2023 04,150,0,,2,day0
25-10-2023 04,200,0,2001.0,21,day0
25-10-2023 04,200,0,2001.0,8,day0
25-10-2023 04,300,1,2001.0,1,day0
25-10-2023 04,300,1,2001.0,1,day0
25-10-2023 04,300,1,4012.0,66,day0
25-10-2023 04,300,1,4012.0,77,day0
25-10-2023 04,300,0,5004.0,126,day0
25-10-2023 04,300,0,5004.0,110,day0
25-10-2023 04,300,1,5031.0,1,day0
25-10-2023 05,100,0,2001.0,9379,day0
25-10-2023 05,100,0,2001.0,27776,day0
25-10-2023 05,100,1,2001.0,1,day0
25-10-2023 05,100,0,4010.0,48,day0
25-10-2023 05,100,0,4010.0,128,day0
25-10-2023 05,100,1,4012.0,10,day0
25-10-2023 05,100,0,4012.0,3864,day0
25-10-2023 05,100,1,4012.0,5,day0
25-10-2023 05,100,0,4012.0,11564,day0
25-10-2023 05,100,1,5031.0,3,day0
25-10-2023 05,100,1,5031.0,1,day0
25-10-2023 05,100,0,5031.0,188,day0
25-10-2023 05,100,0,5031.0,562,day0
25-10-2023 05,100,0,,303,day0
25-10-2023 05,100,1,,2,day0
25-10-2023 05,100,0,,881,day0
25-10-2023 05,133,0,,51,day0
25-10-2023 05,150,0,4010.0,3,day0
25-10-2023 05,150,0,4010.0,2,day0
25-10-2023 05,150,0,4012.0,2,day0
25-10-2023 05,150,0,4012.0,1,day0
25-10-2023 05,150,0,5030.0,10,day0
25-10-2023 05,150,0,5030.0,60,day0
25-10-2023 05,150,0,,2,day0
25-10-2023 05,150,0,,1,day0
25-10-2023 05,200,0,2001.0,38,day0
25-10-2023 05,200,0,2001.0,19,day0
25-10-2023 05,300,1,2001.0,2,day0
25-10-2023 05,300,1,2001.0,2,day0
25-10-2023 05,300,1,4012.0,32,day0
25-10-2023 05,300,1,4012.0,37,day0
25-10-2023 05,300,0,5004.0,18,day0
25-10-2023 05,300,0,5004.0,32,day0
25-10-2023 06,100,0,2001.0,43197,day0
25-10-2023 06,100,0,2001.0,14336,day0
25-10-2023 06,100,0,4010.0,59,day0
25-10-2023 06,100,0,4010.0,190,day0
25-10-2023 06,100,1,4012.0,9,day0
25-10-2023 06,100,0,4012.0,19479,day0
25-10-2023 06,100,1,4012.0,9,day0
25-10-2023 06,100,0,4012.0,6436,day0
25-10-2023 06,100,1,5031.0,2,day0
25-10-2023 06,100,0,5031.0,275,day0
25-10-2023 06,100,0,5031.0,814,day0
25-10-2023 06,100,1,5031.0,5,day0
25-10-2023 06,100,1,,2,day0
25-10-2023 06,100,0,,1606,day0
25-10-2023 06,100,0,,491,day0
25-10-2023 06,133,0,,118,day0
25-10-2023 06,150,0,2001.0,1,day0
25-10-2023 06,150,0,4010.0,2,day0
25-10-2023 06,150,0,4010.0,5,day0
25-10-2023 06,150,0,5030.0,10,day0
25-10-2023 06,150,0,5030.0,32,day0
25-10-2023 06,150,0,,1,day0
25-10-2023 06,150,0,,4,day0
25-10-2023 06,200,0,2001.0,42,day0
25-10-2023 06,200,0,2001.0,93,day0
25-10-2023 06,300,1,2001.0,19,day0
25-10-2023 06,300,1,2001.0,5,day0
25-10-2023 06,300,1,4012.0,46,day0
25-10-2023 06,300,1,4012.0,70,day0
25-10-2023 06,300,0,5004.0,39,day0
25-10-2023 06,300,0,5004.0,64,day0
25-10-2023 07,100,0,2001.0,18302,day0
25-10-2023 07,100,1,2001.0,5,day0
25-10-2023 07,100,0,2001.0,54628,day0
25-10-2023 07,100,1,2001.0,7,day0
25-10-2023 07,100,0,4010.0,241,day0
25-10-2023 07,100,0,4010.0,84,day0
25-10-2023 07,100,0,4012.0,8489,day0
25-10-2023 07,100,0,4012.0,25015,day0
25-10-2023 07,100,1,4012.0,25,day0
25-10-2023 07,100,1,4012.0,16,day0
25-10-2023 07,100,1,5031.0,6,day0
25-10-2023 07,100,0,5031.0,435,day0
25-10-2023 07,100,1,5031.0,4,day0
25-10-2023 07,100,0,5031.0,1186,day0
25-10-2023 07,100,1,,4,day0
25-10-2023 07,100,1,,3,day0
25-10-2023 07,100,0,,631,day0
25-10-2023 07,100,0,,1909,day0
25-10-2023 07,133,0,,197,day0
25-10-2023 07,150,0,4010.0,10,day0
25-10-2023 07,150,0,5030.0,33,day0
25-10-2023 07,150,0,5030.0,17,day0
25-10-2023 07,150,0,,6,day0
25-10-2023 07,200,0,2001.0,47,day0
25-10-2023 07,200,0,2001.0,149,day0
25-10-2023 07,200,0,5031.0,1,day0
25-10-2023 07,300,1,2001.0,8,day0
25-10-2023 07,300,1,2001.0,16,day0
25-10-2023 07,300,1,4012.0,231,day0
25-10-2023 07,300,1,4012.0,318,day0
25-10-2023 07,300,0,5004.0,377,day0
25-10-2023 07,300,0,5004.0,499,day0
25-10-2023 07,300,1,5031.0,22,day0
25-10-2023 07,300,1,5031.0,18,day0
25-10-2023 08,100,1,2001.0,1,day0
25-10-2023 08,100,0,2001.0,70632,day0
25-10-2023 08,100,1,2001.0,2,day0
25-10-2023 08,100,0,2001.0,24015,day0
25-10-2023 08,100,0,4010.0,312,day0
25-10-2023 08,100,0,4010.0,114,day0
25-10-2023 08,100,0,4012.0,10905,day0
25-10-2023 08,100,1,4012.0,46,day0
25-10-2023 08,100,0,4012.0,31460,day0
25-10-2023 08,100,1,4012.0,51,day0
25-10-2023 08,100,0,5031.0,1713,day0
25-10-2023 08,100,1,5031.0,4,day0
25-10-2023 08,100,0,5031.0,644,day0
25-10-2023 08,100,1,5031.0,2,day0
25-10-2023 08,100,1,,4,day0
25-10-2023 08,100,0,,1931,day0
25-10-2023 08,100,1,,2,day0
25-10-2023 08,100,0,,647,day0
25-10-2023 08,133,0,,207,day0
25-10-2023 08,150,0,4010.0,3,day0
25-10-2023 08,150,0,4010.0,6,day0
25-10-2023 08,150,0,4012.0,2,day0
25-10-2023 08,150,0,5030.0,8,day0
25-10-2023 08,150,0,5030.0,32,day0
25-10-2023 08,150,0,5031.0,1,day0
25-10-2023 08,150,0,5031.0,1,day0
25-10-2023 08,150,0,,1,day0
25-10-2023 08,150,0,,4,day0
25-10-2023 08,200,0,2001.0,793,day0
25-10-2023 08,200,0,2001.0,273,day0
25-10-2023 08,200,0,4012.0,9,day0
