CDRDATE,SERVICE_KEY,DIAMETER,TOTAL
21-10-2023 13:14,100,5031.0,39
21-10-2023 13:14,100,,20
21-10-2023 13:14,100,,42
21-10-2023 13:14,133,,5
21-10-2023 13:14,150,5030.0,1
21-10-2023 13:14,200,2001.0,5
21-10-2023 13:14,200,2001.0,2
21-10-2023 13:14,300,2001.0,2
21-10-2023 13:14,300,2001.0,3
21-10-2023 13:14,300,4012.0,11
21-10-2023 13:14,300,4012.0,18
21-10-2023 13:14,300,5004.0,6
21-10-2023 13:15,100,2001.0,416
21-10-2023 13:15,100,2001.0,1284
21-10-2023 13:15,100,4010.0,8
21-10-2023 13:15,100,4010.0,6
21-10-2023 13:15,100,4012.0,225
21-10-2023 13:15,100,4012.0,686
21-10-2023 13:15,100,5031.0,13
21-10-2023 13:15,100,5031.0,41
21-10-2023 13:15,100,,14
21-10-2023 13:15,100,,35
21-10-2023 13:15,133,,4
21-10-2023 13:15,150,4010.0,1
21-10-2023 13:15,150,5030.0,1
21-10-2023 13:15,200,2001.0,2
21-10-2023 13:15,200,2001.0,10
21-10-2023 13:15,300,2001.0,1
21-10-2023 13:15,300,2001.0,3
21-10-2023 13:15,300,4012.0,11
21-10-2023 13:15,300,4012.0,7
21-10-2023 13:15,300,5004.0,24
21-10-2023 13:15,300,5004.0,14
21-10-2023 13:16,100,2001.0,1284
21-10-2023 13:16,100,2001.0,459
21-10-2023 13:16,100,4010.0,1
21-10-2023 13:16,100,4010.0,7
21-10-2023 13:16,100,4012.0,242
21-10-2023 13:16,100,4012.0,609
21-10-2023 13:16,100,5031.0,40
21-10-2023 13:16,100,5031.0,16
21-10-2023 13:16,100,,20
21-10-2023 13:16,100,,40
21-10-2023 13:16,133,,4
21-10-2023 13:16,200,2001.0,7
21-10-2023 13:16,200,2001.0,2
21-10-2023 13:16,200,4012.0,1
21-10-2023 13:16,300,2001.0,1
21-10-2023 13:16,300,4012.0,12
21-10-2023 13:16,300,4012.0,14
21-10-2023 13:16,300,5004.0,10
21-10-2023 13:16,300,5004.0,20
21-10-2023 13:17,100,2001.0,457
21-10-2023 13:17,100,2001.0,1374
21-10-2023 13:17,100,4010.0,7
21-10-2023 13:17,100,4010.0,2
21-10-2023 13:17,100,4012.0,243
21-10-2023 13:17,100,4012.0,673
21-10-2023 13:17,100,5031.0,38
21-10-2023 13:17,100,5031.0,11
21-10-2023 13:17,100,,18
21-10-2023 13:17,100,,54
21-10-2023 13:17,133,,6
21-10-2023 13:17,150,,1
21-10-2023 13:17,200,2001.0,2
21-10-2023 13:17,200,2001.0,8
21-10-2023 13:17,300,2001.0,1
21-10-2023 13:17,300,2001.0,1
21-10-2023 13:17,300,4012.0,8
21-10-2023 13:17,300,4012.0,1
21-10-2023 13:17,300,5004.0,17
21-10-2023 13:17,300,5004.0,29
21-10-2023 13:18,100,2001.0,476
21-10-2023 13:18,100,2001.0,1343
21-10-2023 13:18,100,4010.0,5
21-10-2023 13:18,100,4010.0,1
21-10-2023 13:18,100,4012.0,630
21-10-2023 13:18,100,4012.0,259
21-10-2023 13:18,100,5031.0,33
21-10-2023 13:18,100,5031.0,12
21-10-2023 13:18,100,,9
21-10-2023 13:18,100,,34
21-10-2023 13:18,133,,4
21-10-2023 13:18,150,5030.0,2
21-10-2023 13:18,200,2001.0,9
21-10-2023 13:18,200,2001.0,1
21-10-2023 13:18,300,2001.0,2
21-10-2023 13:18,300,4012.0,12
21-10-2023 13:18,300,4012.0,12
21-10-2023 13:18,300,5004.0,10
21-10-2023 13:18,300,5004.0,4
21-10-2023 13:19,100,2001.0,1385
21-10-2023 13:19,100,2001.0,398
21-10-2023 13:19,100,4010.0,5
21-10-2023 13:19,100,4010.0,2
21-10-2023 13:19,100,4012.0,199
21-10-2023 13:19,100,4012.0,677
21-10-2023 13:19,100,5031.0,43
21-10-2023 13:19,100,5031.0,10
21-10-2023 13:19,100,,15
21-10-2023 13:19,100,,43
21-10-2023 13:19,133,,2
21-10-2023 13:19,150,5030.0,2
21-10-2023 13:19,150,5030.0,1
21-10-2023 13:19,200,2001.0,5
21-10-2023 13:19,200,2001.0,2
21-10-2023 13:19,300,2001.0,2
21-10-2023 13:19,300,4012.0,38
21-10-2023 13:19,300,4012.0,15
21-10-2023 13:19,300,5004.0,10
21-10-2023 13:19,300,5004.0,27
21-10-2023 13:19,300,5031.0,1
21-10-2023 13:20,100,2001.0,1257
21-10-2023 13:20,100,2001.0,451
21-10-2023 13:20,100,4010.0,3
21-10-2023 13:20,100,4010.0,10
21-10-2023 13:20,100,4012.0,647
21-10-2023 13:20,100,4012.0,232
21-10-2023 13:20,100,5031.0,34
21-10-2023 13:20,100,5031.0,14
21-10-2023 13:20,100,,19
21-10-2023 13:20,100,,39
21-10-2023 13:20,133,,3
