CDR_DATE,CP_NAME,ACCESSFLAG,TOTAL,SUCCESS,REMARK
12-01-2024,GENFLIX,73,183209,180875,day0
12-01-2024,Galatic Multimedia_oomph,73,1228,383,day0
12-01-2024,Global Media Solusi,73,58366,1165,day0
12-01-2024,Hypermind,73,29297,28979,day0
12-01-2024,Integrasi Tunas Muda,73,81043,80313,day0
12-01-2024,KEE_Digital,73,361555,360066,day0
12-01-2024,LinkIT_360,73,535875,530443,day0
12-01-2024,Macrokiosk,73,4,4,day0
12-01-2024,Mocoplus_Technology,73,1062,1023,day0
12-01-2024,Opera,73,441,217,day0
12-01-2024,PT Festival Digital Nusantara,73,66779,65668,day0
12-01-2024,PT Milenial Nusantara Citra,73,4709,2009,day0
12-01-2024,PT SMSNET NUSANTARA WAPINDO,73,509,3,day0
12-01-2024,PT. Aman Devloop Indonesia,73,42225,41741,day0
12-01-2024,PT. Distribution Oriented Technologies,73,321,320,day0
12-01-2024,PT. Gloria Viva Nusantara,73,910146,3003,day0
12-01-2024,PT. Panen Kita Mandiri,73,2856,1132,day0
12-01-2024,SahabatMudaKreatif,73,657971,652299,day0
12-01-2024,Saharjo enam sembilan,73,25282,3818,day0
12-01-2024,SaktiMobile,73,12590,874,day0
12-01-2024,Sinergi Bestama Indonesia,73,168768,164907,day0
12-01-2024,Telesat_System_Integrator,73,14109,12537,day0
12-01-2024,Terminal Kreasi Nusantara,73,17037,1073,day0
12-01-2024,Triple One Global,73,4,4,day0
12-01-2024,Triyakom,73,401736,391735,day0
12-01-2024,Utopia,73,2142870,2042914,day0
12-01-2024,Yatta Eracipta Solusi,73,182111,180282,day0
11-01-2024,18 Box Media,66,1,1,day1
11-01-2024,8Elements,66,60,59,day1
11-01-2024,Access Mobile,66,347,347,day1
11-01-2024,Akses Cipta Solusi,66,76,61,day1
11-01-2024,Artajasa,66,72,72,day1
11-01-2024,Artha_Ghani_Sempurna,66,2,2,day1
11-01-2024,Braincode,66,3,0,day1
11-01-2024,CP Nine Live,66,3,3,day1
11-01-2024,Celltick_Project,66,107,107,day1
11-01-2024,Codapay,66,75,75,day1
11-01-2024,Digital HUB Accenture,66,220,220,day1
11-01-2024,Emobile,66,742,591,day1
11-01-2024,Era Digital Media,66,93,92,day1
11-01-2024,Falcon,66,1098,1098,day1
11-01-2024,Forest Indo Niaga,66,3,3,day1
11-01-2024,Fortumo,66,13,13,day1
11-01-2024,GENFLIX,66,436,436,day1
11-01-2024,GMS AG (bulk),66,34119,34118,day1
11-01-2024,Galatic Multimedia_oomph,66,3,3,day1
11-01-2024,Global Media Solusi,66,1,1,day1
11-01-2024,Hypermind,66,2,2,day1
11-01-2024,Infinetworks CIMB Niaga,66,566,563,day1
11-01-2024,Integrasi Tunas Muda,66,3,3,day1
11-01-2024,Jatis Mobile,66,454,452,day1
11-01-2024,LinkIT_360,66,66,66,day1
11-01-2024,Macrokiosk,66,2,2,day1
11-01-2024,Mitra Mob Indo,66,1,1,day1
11-01-2024,MitraComm Ekasarana,66,214,214,day1
11-01-2024,Monty Mobile (bulk),66,1737,1735,day1
11-01-2024,NetM_GooglePlay,66,3005,3004,day1
11-01-2024,Opera,66,9,9,day1
11-01-2024,PT Festival Digital Nusantara,66,101,101,day1
11-01-2024,PT Metrane,66,90,65,day1
11-01-2024,PT Milenial Nusantara Citra,66,7,0,day1
11-01-2024,PT. Aman Devloop Indonesia,66,19,19,day1
11-01-2024,PT. Distribution Oriented Technologies,66,2,2,day1
11-01-2024,PT. Gloria Viva Nusantara,66,5,0,day1
11-01-2024,Redision,66,45,45,day1
11-01-2024,SPRINT_Strata Prima Internusa,66,12037,12037,day1
11-01-2024,SahabatMudaKreatif,66,19,19,day1
11-01-2024,Sinergi Bestama Indonesia,66,15,15,day1
11-01-2024,Telesat_System_Integrator,66,4,4,day1
11-01-2024,Terminal Kreasi Nusantara,66,1,1,day1
11-01-2024,Triple One Global,66,2,2,day1
11-01-2024,Triyakom,66,1585,1585,day1
11-01-2024,Yatta Eracipta Solusi,66,28,28,day1
11-01-2024,ZingMKUows,66,7,0,day1
11-01-2024,,66,19,0,day1
11-01-2024,8Elements,67,8,0,day1
11-01-2024,Access Mobile,67,788,788,day1
11-01-2024,Akses Cipta Solusi,67,88,88,day1
