CDR_DATE,CDR_HOUR,CONTENTPROVIDERID,CP_NAME,BASICCAUSE,INTERNALCAUSE,ACCESSFLAG,TOTAL,REMARK
11-02-2024,00,257,PT. Aman Devloop Indonesia,941,2001,73,1,day0
11-02-2024,00,262,PT Milenial Nusantara Citra,601,,66,2,day0
11-02-2024,00,2895,KEE_Digital,111,4012,73,133,day0
11-02-2024,00,2895,KEE_Digital,372,2001,72,130,day0
11-02-2024,00,2895,KEE_Digital,6,,73,7,day0
11-02-2024,00,2895,KEE_Digital,9,,72,50,day0
11-02-2024,00,2895,KEE_Digital,941,2001,73,358,day0
11-02-2024,00,2895,KEE_Digital,987,2001,72,130,day0
11-02-2024,00,2915,18 Box Media,111,4012,73,5296,day0
11-02-2024,00,2915,18 Box Media,23,,73,720,day0
11-02-2024,00,2915,18 Box Media,372,2001,72,1,day0
11-02-2024,00,2915,18 Box Media,9,,72,1,day0
11-02-2024,00,2915,18 Box Media,940,5031,73,122,day0
11-02-2024,00,2915,18 Box Media,941,2001,73,54,day0
11-02-2024,00,2915,18 Box Media,973,,73,299,day0
11-02-2024,00,2915,18 Box Media,987,2001,72,1,day0
11-02-2024,00,42,Access Mobile,938,2001,66,57,day0
11-02-2024,00,42,Access Mobile,940,5030,67,3,day0
11-02-2024,00,42,Access Mobile,941,2001,67,124,day0
11-02-2024,00,50,Triyakom,111,4012,67,4,day0
11-02-2024,00,50,Triyakom,111,4012,68,22,day0
11-02-2024,00,50,Triyakom,111,4012,73,1026,day0
11-02-2024,00,50,Triyakom,123,2001,72,26,day0
11-02-2024,00,50,Triyakom,23,,73,1,day0
11-02-2024,00,50,Triyakom,372,2001,72,65,day0
11-02-2024,00,50,Triyakom,372,,72,1,day0
11-02-2024,00,50,Triyakom,9,,72,29,day0
11-02-2024,00,50,Triyakom,938,2001,66,209,day0
11-02-2024,00,50,Triyakom,940,4010,67,1,day0
11-02-2024,00,50,Triyakom,940,5030,67,6,day0
11-02-2024,00,50,Triyakom,940,5031,72,1,day0
11-02-2024,00,50,Triyakom,940,5031,73,1,day0
11-02-2024,00,50,Triyakom,941,2001,67,469,day0
11-02-2024,00,50,Triyakom,941,2001,73,117,day0
11-02-2024,00,50,Triyakom,949,2001,68,134,day0
11-02-2024,00,50,Triyakom,973,,73,46,day0
11-02-2024,00,50,Triyakom,987,2001,72,66,day0
11-02-2024,00,51,Utopia,111,4012,73,86834,day0
11-02-2024,00,51,Utopia,123,2001,72,2,day0
11-02-2024,00,51,Utopia,23,,73,16,day0
11-02-2024,00,51,Utopia,372,2001,72,18,day0
11-02-2024,00,51,Utopia,6,,73,24,day0
11-02-2024,00,51,Utopia,9,,72,1,day0
11-02-2024,00,51,Utopia,940,5031,73,63,day0
11-02-2024,00,51,Utopia,941,2001,67,3,day0
11-02-2024,00,51,Utopia,941,2001,73,11875,day0
11-02-2024,00,51,Utopia,973,,73,360,day0
11-02-2024,00,51,Utopia,987,2001,72,18,day0
11-02-2024,00,51,Utopia,998,,67,5,day0
11-02-2024,00,52,Falcon,111,4012,67,3,day0
11-02-2024,00,52,Falcon,111,4012,73,54,day0
11-02-2024,00,52,Falcon,123,2001,72,4,day0
11-02-2024,00,52,Falcon,372,2001,72,885,day0
11-02-2024,00,52,Falcon,372,,72,1,day0
11-02-2024,00,52,Falcon,9,,72,541,day0
11-02-2024,00,52,Falcon,938,2001,66,140,day0
11-02-2024,00,52,Falcon,940,5031,72,5,day0
11-02-2024,00,52,Falcon,941,2001,73,1279,day0
11-02-2024,00,52,Falcon,973,,73,1,day0
11-02-2024,00,52,Falcon,987,2001,72,886,day0
11-02-2024,00,69,Fortumo,111,4012,68,46,day0
11-02-2024,00,69,Fortumo,41,,67,1,day0
11-02-2024,00,69,Fortumo,715,,67,1,day0
11-02-2024,00,69,Fortumo,938,2001,66,1,day0
11-02-2024,00,69,Fortumo,941,2001,67,57,day0
11-02-2024,00,69,Fortumo,949,2001,68,19,day0
11-02-2024,00,70,Opera,111,4012,73,105,day0
11-02-2024,00,70,Opera,123,2001,72,2,day0
11-02-2024,00,70,Opera,23,,73,1,day0
11-02-2024,00,70,Opera,363,,67,1,day0
11-02-2024,00,70,Opera,6,,73,1,day0
11-02-2024,00,70,Opera,938,2001,66,2,day0
11-02-2024,00,70,Opera,941,2001,73,2,day0
11-02-2024,00,70,Opera,998,,67,1,day0
11-02-2024,00,74,Codapay,111,4012,68,33,day0
11-02-2024,00,74,Codapay,715,,67,19,day0
11-02-2024,00,74,Codapay,938,2001,66,12,day0
11-02-2024,00,74,Codapay,940,4010,67,2,day0
11-02-2024,00,74,Codapay,940,5030,67,12,day0
11-02-2024,00,74,Codapay,940,5031,67,2,day0
11-02-2024,00,74,Codapay,941,2001,67,491,day0
11-02-2024,00,74,Codapay,949,2001,68,176,day0
11-02-2024,00,75,ZingMKUows,813,,66,1,day0
11-02-2024,00,76,Line,111,4012,68,4,day0
11-02-2024,00,76,Line,949,2001,68,49,day0
11-02-2024,00,77,Celltick_Project,111,4012,73,101441,day0
11-02-2024,00,77,Celltick_Project,23,,73,192,day0
11-02-2024,00,77,Celltick_Project,372,2001,72,2,day0
11-02-2024,00,77,Celltick_Project,6,,73,426,day0
11-02-2024,00,77,Celltick_Project,9,,72,1,day0
11-02-2024,00,77,Celltick_Project,938,2001,66,3,day0
11-02-2024,00,77,Celltick_Project,940,4010,73,10,day0
11-02-2024,00,77,Celltick_Project,940,5031,73,51,day0
11-02-2024,00,77,Celltick_Project,941,2001,73,3252,day0
11-02-2024,00,77,Celltick_Project,973,,73,10,day0
11-02-2024,00,77,Celltick_Project,987,2001,72,2,day0
11-02-2024,00,78,NetM_GooglePlay,111,4012,68,6040,day0
11-02-2024,00,78,NetM_GooglePlay,938,2001,66,466,day0
11-02-2024,00,78,NetM_GooglePlay,940,5030,66,2,day0
11-02-2024,00,78,NetM_GooglePlay,940,5031,66,3,day0
11-02-2024,00,78,NetM_GooglePlay,941,2001,67,606,day0
11-02-2024,00,78,NetM_GooglePlay,948,4010,68,2,day0
11-02-2024,00,78,NetM_GooglePlay,948,5030,68,2,day0
11-02-2024,00,78,NetM_GooglePlay,948,5031,68,24,day0
11-02-2024,00,78,NetM_GooglePlay,949,2001,68,616,day0
11-02-2024,00,,,10,,66,8,day0
11-02-2024,00,,,100,,67,1,day0
11-02-2024,01,100,MitraComm Ekasarana,111,4012,67,804,day0
11-02-2024,01,100,MitraComm Ekasarana,41,,67,2,day0
11-02-2024,01,100,MitraComm Ekasarana,938,2001,66,10,day0
11-02-2024,01,100,MitraComm Ekasarana,940,4010,67,10,day0
11-02-2024,01,100,MitraComm Ekasarana,940,4012,66,1,day0
11-02-2024,01,100,MitraComm Ekasarana,940,5030,67,138,day0
11-02-2024,01,100,MitraComm Ekasarana,940,5031,67,6,day0
11-02-2024,01,100,MitraComm Ekasarana,941,2001,67,163,day0
11-02-2024,01,107,SPRINT_Strata Prima Internusa,111,4012,67,323,day0
11-02-2024,01,107,SPRINT_Strata Prima Internusa,938,2001,66,376,day0
11-02-2024,01,107,SPRINT_Strata Prima Internusa,940,4012,66,385,day0
11-02-2024,01,107,SPRINT_Strata Prima Internusa,941,2001,67,417,day0
11-02-2024,01,110,Jatis Mobile,111,4012,67,2,day0
11-02-2024,01,110,Jatis Mobile,938,2001,66,24,day0
11-02-2024,01,110,Jatis Mobile,941,2001,67,24,day0
11-02-2024,01,134,Artajasa,938,2001,66,1,day0
11-02-2024,01,134,Artajasa,941,2001,67,1,day0
11-02-2024,01,137,Infinetworks CIMB Niaga,111,4012,67,6,day0
11-02-2024,01,137,Infinetworks CIMB Niaga,938,2001,66,5,day0
11-02-2024,01,137,Infinetworks CIMB Niaga,940,4012,66,6,day0
11-02-2024,01,137,Infinetworks CIMB Niaga,941,2001,67,26,day0
11-02-2024,01,139,Macrokiosk,938,2001,66,1,day0
11-02-2024,01,139,Macrokiosk,941,2001,73,1,day0
11-02-2024,01,152,Kreasi Media Karya_KMK,938,2001,66,2,day0
11-02-2024,01,152,Kreasi Media Karya_KMK,941,2001,67,2,day0
11-02-2024,01,153,Global Media Solusi,23,,73,174,day0
11-02-2024,01,154,GENFLIX,938,2001,66,54,day0
11-02-2024,01,154,GENFLIX,940,5031,66,1,day0
11-02-2024,01,154,GENFLIX,941,2001,73,12,day0
11-02-2024,01,156,Emobile,111,4012,67,28,day0
11-02-2024,01,156,Emobile,41,,67,2,day0
11-02-2024,01,156,Emobile,601,,66,10,day0
11-02-2024,01,156,Emobile,938,2001,66,18,day0
11-02-2024,01,156,Emobile,940,4012,66,8,day0
11-02-2024,01,156,Emobile,940,5030,67,7,day0
11-02-2024,01,156,Emobile,941,2001,67,40,day0
11-02-2024,01,163,Integrasi Tunas Muda,941,2001,73,1,day0
11-02-2024,01,164,Era Digital Media,111,4012,73,4,day0
11-02-2024,01,164,Era Digital Media,372,2001,72,4,day0
11-02-2024,01,164,Era Digital Media,9,,72,1,day0
11-02-2024,01,164,Era Digital Media,938,2001,66,2,day0
11-02-2024,01,164,Era Digital Media,941,2001,73,39,day0
11-02-2024,01,164,Era Digital Media,987,2001,72,4,day0
11-02-2024,01,166,Yatta Eracipta Solusi,111,4012,73,20506,day0
11-02-2024,01,166,Yatta Eracipta Solusi,23,,73,9,day0
11-02-2024,01,166,Yatta Eracipta Solusi,6,,73,52,day0
11-02-2024,01,166,Yatta Eracipta Solusi,938,2001,66,1,day0
11-02-2024,01,166,Yatta Eracipta Solusi,940,5031,73,5,day0
11-02-2024,01,166,Yatta Eracipta Solusi,941,2001,73,228,day0
11-02-2024,01,171,Forest Indo Niaga,940,4010,73,6,day0
11-02-2024,01,187,Sinergi Bestama Indonesia,111,4012,73,15511,day0
11-02-2024,01,187,Sinergi Bestama Indonesia,23,,73,354,day0
11-02-2024,01,187,Sinergi Bestama Indonesia,6,,73,44,day0
11-02-2024,01,187,Sinergi Bestama Indonesia,940,5031,73,2,day0
11-02-2024,01,187,Sinergi Bestama Indonesia,941,2001,73,83,day0
11-02-2024,01,187,Sinergi Bestama Indonesia,973,,73,4,day0
11-02-2024,01,191,Digital HUB Accenture,938,2001,66,14,day0
11-02-2024,01,191,Digital HUB Accenture,941,2001,67,25,day0
11-02-2024,01,193,PT Festival Digital Nusantara,938,2001,66,8,day0
11-02-2024,01,193,PT Festival Digital Nusantara,941,2001,73,2,day0
11-02-2024,01,198,VIU,941,2001,67,145,day0
11-02-2024,01,206,LinkIT_360,111,4012,73,39983,day0
11-02-2024,01,206,LinkIT_360,23,,73,135,day0
11-02-2024,01,206,LinkIT_360,6,,73,3,day0
