
"CDRDATE","CP_NAME","CPID","ACCESSFLAG","BASICCAUSE","INTERNALCAUSE","REVENUE","TOTAL"
"2023-11-12 14:44","Fortumo","69","68","111","4012",0,3
"2023-11-12 14:44","Fortumo","69","68","949","2001",2500,1
"2023-11-12 14:44","Codapay","74","67","715",,0,2
"2023-11-12 14:44","Codapay","74","67","940","5030",0,2
"2023-11-12 14:44","Codapay","74","67","941","2001",0,29
"2023-11-12 14:44","Codapay","74","68","949","2001",123066,14
"2023-11-12 14:44","Celltick_Project","77","72","372","2001",0,1
"2023-11-12 14:44","Celltick_Project","77","72","9",,0,1
"2023-11-12 14:44","Celltick_Project","77","72","987","2001",0,1
"2023-11-12 14:44","Celltick_Project","77","73","111","4012",0,855
"2023-11-12 14:44","Celltick_Project","77","73","23",,13515,15
"2023-11-12 14:44","Celltick_Project","77","73","6",,901,1
"2023-11-12 14:44","Celltick_Project","77","73","941","2001",8109,11
"2023-11-12 14:44","Celltick_Project","77","73","973",,5406,6
"2023-11-12 14:44","NetM_GooglePlay","78","66","938","2001",0,14
"2023-11-12 14:44","NetM_GooglePlay","78","67","941","2001",0,15
"2023-11-12 14:44","NetM_GooglePlay","78","68","111","4012",0,199
"2023-11-12 14:44","NetM_GooglePlay","78","68","948","5031",0,2
"2023-11-12 14:44","NetM_GooglePlay","78","68","949","2001",232767,15
"2023-11-12 14:45","MitraComm Ekasarana","100","66","938","2001",450,1
"2023-11-12 14:45","MitraComm Ekasarana","100","67","111","4012",0,49
"2023-11-12 14:45","MitraComm Ekasarana","100","67","940","5030",0,8
"2023-11-12 14:45","MitraComm Ekasarana","100","67","941","2001",12800,16
"2023-11-12 14:45","SPRINT_Strata Prima Internusa","107","66","938","2001",7500,15
"2023-11-12 14:45","SPRINT_Strata Prima Internusa","107","66","940","4012",0,14
"2023-11-12 14:45","SPRINT_Strata Prima Internusa","107","67","111","4012",0,17
"2023-11-12 14:45","SPRINT_Strata Prima Internusa","107","67","941","2001",17000,22
"2023-11-12 14:45","Jatis Mobile","110","66","938","2001",0,1
"2023-11-12 14:45","Jatis Mobile","110","67","941","2001",495,1
"2023-11-12 14:45","Infinetworks CIMB Niaga","137","67","111","4012",0,1
"2023-11-12 14:45","Emobile","156","66","940","4012",0,1
"2023-11-12 14:45","Emobile","156","67","111","4012",0,2
"2023-11-12 14:45","Emobile","156","67","41",,600,1
"2023-11-12 14:45","Emobile","156","67","941","2001",2400,4
"2023-11-12 14:45","Era Digital Media","164","66","938","2001",0,1
"2023-11-12 14:45","Era Digital Media","164","72","372","2001",0,35
"2023-11-12 14:45","Era Digital Media","164","72","9",,0,2
"2023-11-12 14:45","Era Digital Media","164","72","987","2001",0,35
"2023-11-12 14:45","Era Digital Media","164","73","111","4012",0,3176
"2023-11-12 14:45","Era Digital Media","164","73","23",,991,1
"2023-11-12 14:45","Era Digital Media","164","73","6",,12883,13
"2023-11-12 14:45","Era Digital Media","164","73","941","2001",57478,97
"2023-11-12 14:45","Era Digital Media","164","73","973",,18829,19
"2023-11-12 14:45","Yatta Eracipta Solusi","166","73","111","4012",0,538
"2023-11-12 14:45","Yatta Eracipta Solusi","166","73","23",,21802,11
"2023-11-12 14:45","Yatta Eracipta Solusi","166","73","6",,1982,1
"2023-11-12 14:45","Yatta Eracipta Solusi","166","73","940","5031",0,1
"2023-11-12 14:45","Yatta Eracipta Solusi","166","73","941","2001",13874,7
"2023-11-12 14:45","Forest Indo Niaga","171","73","111","4012",0,619
"2023-11-12 14:45","Forest Indo Niaga","171","73","941","2001",7928,4
"2023-11-12 14:45","Forest Indo Niaga","171","73","973",,11892,6
"2023-11-12 14:45","Sinergi Bestama Indonesia","187","73","111","4012",0,294
"2023-11-12 14:45","Sinergi Bestama Indonesia","187","73","6",,1982,2
"2023-11-12 14:45","Sinergi Bestama Indonesia","187","73","941","2001",3964,3
"2023-11-12 14:45","Sinergi Bestama Indonesia","187","73","973",,991,1
"2023-11-12 14:45","VIU","198","67","941","2001",0,23
"2023-11-12 14:45","PT. Distribution Oriented Technologies","200","73","6",,1982,1
"2023-11-12 14:45","PT Metrane","210","67","941","2001",0,9
"2023-11-12 14:45","GMS AG (bulk)","239","66","938","2001",0,115
"2023-11-12 14:45","GMS AG (bulk)","239","66","940","5030",0,1
"2023-11-12 14:45","GMS AG (bulk)","239","66","940","5031",0,1
"2023-11-12 14:45","Monty Mobile (bulk)","240","66","938","2001",0,4
"2023-11-12 14:45","BPJS","242","67","111","4012",0,1
"2023-11-12 14:45","BPJS","242","67","941","2001",1388,4
"2023-11-12 14:45","SahabatMudaKreatif","252","73","111","4012",0,998
"2023-11-12 14:45","SahabatMudaKreatif","252","73","940","5031",0,2
"2023-11-12 14:45","SahabatMudaKreatif","252","73","941","2001",1982,1
"2023-11-12 14:45","8Elements","254","73","111","4012",0,463
"2023-11-12 14:45","8Elements","254","73","23",,2973,3
"2023-11-12 14:45","8Elements","254","73","6",,1982,2
"2023-11-12 14:45","8Elements","254","73","940","5031",0,1
"2023-11-12 14:45","8Elements","254","73","941","2001",20811,21
"2023-11-12 14:45","PT. Aman Devloop Indonesia","257","73","111","4012",0,166
"2023-11-12 14:45","PT. Aman Devloop Indonesia","257","73","6",,2973,3
"2023-11-12 14:45","PT. Aman Devloop Indonesia","257","73","991",,416220,420
"2023-11-12 14:45","Telesat_System_Integrator","261","73","111","4012",0,15
"2023-11-12 14:45","Telesat_System_Integrator","261","73","23",,991,1
"2023-11-12 14:45","Telesat_System_Integrator","261","73","973",,1982,2
"2023-11-12 14:45","PT Milenial Nusantara Citra","262","73","6",,9414,9
"2023-11-12 14:45","KEE_Digital","2895","72","9",,0,2
"2023-11-12 14:45","KEE_Digital","2895","73","111","4012",0,1274
"2023-11-12 14:45","KEE_Digital","2895","73","941","2001",10800,12
"2023-11-12 14:45","18 Box Media","2915","73","111","4012",0,1012
"2023-11-12 14:45","18 Box Media","2915","73","23",,13867,7
"2023-11-12 14:45","18 Box Media","2915","73","6",,1981,1
"2023-11-12 14:45","18 Box Media","2915","73","940","5031",0,19
"2023-11-12 14:45","18 Box Media","2915","73","941","2001",17829,11
"2023-11-12 14:45","Access Mobile","42","66","938","2001",0,3
"2023-11-12 14:45","Access Mobile","42","67","941","2001",0,3
"2023-11-12 14:45","Triyakom","50","66","938","2001",0,3
"2023-11-12 14:45","Triyakom","50","67","940","5030",0,16
"2023-11-12 14:45","Triyakom","50","67","941","2001",0,353
"2023-11-12 14:45","Triyakom","50","68","111","4012",0,1
"2023-11-12 14:45","Triyakom","50","68","949","2001",5000,1
"2023-11-12 14:45","Triyakom","50","72","372","2001",0,26
"2023-11-12 14:45","Triyakom","50","72","9",,0,1
"2023-11-12 14:45","Triyakom","50","72","987","2001",0,26
"2023-11-12 14:45","Triyakom","50","73","111","4012",0,667
"2023-11-12 14:45","Triyakom","50","73","6",,2703,3
"2023-11-12 14:45","Triyakom","50","73","941","2001",36832,40
"2023-11-12 14:45","Triyakom","50","73","973",,2703,3
"2023-11-12 14:45","Utopia","51","72","372","2001",0,1
"2023-11-12 14:45","Utopia","51","72","987","2001",0,1
"2023-11-12 14:45","Utopia","51","73","111","4012",0,3026
"2023-11-12 14:45","Utopia","51","73","23",,85140,172
"2023-11-12 14:45","Utopia","51","73","6",,6255,11
"2023-11-12 14:45","Utopia","51","73","940","4010",0,1
"2023-11-12 14:45","Utopia","51","73","940","5031",0,2
"2023-11-12 14:45","Utopia","51","73","941","2001",11880,16
"2023-11-12 14:45","Utopia","51","73","973",,1980,4
"2023-11-12 14:45","Utopia","51","73","991",,4950,10
"2023-11-12 14:45","Falcon","52","66","938","2001",0,3
"2023-11-12 14:45","Falcon","52","67","941","2001",991,1
"2023-11-12 14:45","Falcon","52","72","372","2001",0,14
"2023-11-12 14:45","Falcon","52","72","9",,0,8
"2023-11-12 14:45","Falcon","52","72","987","2001",0,14
"2023-11-12 14:45","Falcon","52","73","111","4012",0,2060
"2023-11-12 14:45","Falcon","52","73","6",,20811,21
"2023-11-12 14:45","Falcon","52","73","940","5031",0,1
"2023-11-12 14:45","Falcon","52","73","941","2001",72343,101
"2023-11-12 14:45","Fortumo","69","67","941","2001",0,1
"2023-11-12 14:45","Codapay","74","67","715",,0,1
"2023-11-12 14:45","Codapay","74","67","940","5030",0,2
"2023-11-12 14:45","Codapay","74","67","941","2001",0,25
"2023-11-12 14:45","Codapay","74","68","111","4012",0,1
"2023-11-12 14:45","Codapay","74","68","949","2001",45732,11
"2023-11-12 14:45","Line","76","68","949","2001",13512,3
"2023-11-12 14:45","Celltick_Project","77","66","938","2001",0,1
"2023-11-12 14:45","Celltick_Project","77","72","372","2001",0,5
"2023-11-12 14:45","Celltick_Project","77","72","987","2001",0,5
"2023-11-12 14:45","Celltick_Project","77","73","111","4012",0,833
"2023-11-12 14:45","Celltick_Project","77","73","23",,18020,20
"2023-11-12 14:45","Celltick_Project","77","73","6",,4505,5
"2023-11-12 14:45","Celltick_Project","77","73","941","2001",12614,17
"2023-11-12 14:45","Celltick_Project","77","73","973",,10812,12
"2023-11-12 14:45","NetM_GooglePlay","78","66","938","2001",0,9
"2023-11-12 14:45","NetM_GooglePlay","78","67","941","2001",0,13
"2023-11-12 14:45","NetM_GooglePlay","78","68","111","4012",0,207
"2023-11-12 14:45","NetM_GooglePlay","78","68","948","4010",0,1
"2023-11-12 14:45","NetM_GooglePlay","78","68","948","5031",0,2
"2023-11-12 14:45","NetM_GooglePlay","78","68","949","2001",128760,13
"2023-11-12 14:46","MitraComm Ekasarana","100","67","111","4012",0,60
"2023-11-12 14:46","MitraComm Ekasarana","100","67","940","4010",0,1
"2023-11-12 14:46","MitraComm Ekasarana","100","67","940","5030",0,10
"2023-11-12 14:46","MitraComm Ekasarana","100","67","941","2001",12800,16
"2023-11-12 14:46","SPRINT_Strata Prima Internusa","107","66","938","2001",9000,18
"2023-11-12 14:46","SPRINT_Strata Prima Internusa","107","66","940","4012",0,10
"2023-11-12 14:46","SPRINT_Strata Prima Internusa","107","67","111","4012",0,17
"2023-11-12 14:46","SPRINT_Strata Prima Internusa","107","67","941","2001",19800,26
"2023-11-12 14:46","Jatis Mobile","110","66","938","2001",0,3
"2023-11-12 14:46","Jatis Mobile","110","67","111","4012",0,1
"2023-11-12 14:46","Jatis Mobile","110","67","941","2001",0,3
"2023-11-12 14:46","Artajasa","134","66","940","4012",0,1
"2023-11-12 14:46","Infinetworks CIMB Niaga","137","67","111","4012",0,1
"2023-11-12 14:46","Infinetworks CIMB Niaga","137","67","940","5030",0,1
"2023-11-12 14:46","Infinetworks CIMB Niaga","137","67","941","2001",600,1
"2023-11-12 14:46","GENFLIX","154","66","938","2001",0,2
"2023-11-12 14:46","Emobile","156","66","938","2001",900,2
"2023-11-12 14:46","Emobile","156","66","940","4012",0,1
"2023-11-12 14:46","Emobile","156","67","941","2001",5200,8
"2023-11-12 14:46","Era Digital Media","164","66","938","2001",0,2
"2023-11-12 14:46","Era Digital Media","164","72","372","2001",0,33
"2023-11-12 14:46","Era Digital Media","164","72","9",,0,4
"2023-11-12 14:46","Era Digital Media","164","72","940","5031",0,1
"2023-11-12 14:46","Era Digital Media","164","72","987","2001",0,33
"2023-11-12 14:46","Era Digital Media","164","73","111","4012",0,3192
"2023-11-12 14:46","Era Digital Media","164","73","6",,11892,12
"2023-11-12 14:46","Era Digital Media","164","73","941","2001",41622,78
"2023-11-12 14:46","Era Digital Media","164","73","973",,23784,24
"2023-11-12 14:46","Yatta Eracipta Solusi","166","73","111","4012",0,580
"2023-11-12 14:46","Yatta Eracipta Solusi","166","73","23",,23784,12
"2023-11-12 14:46","Yatta Eracipta Solusi","166","73","6",,3964,2
"2023-11-12 14:46","Yatta Eracipta Solusi","166","73","941","2001",11892,7
"2023-11-12 14:46","Forest Indo Niaga","171","73","111","4012",0,634
"2023-11-12 14:46","Forest Indo Niaga","171","73","941","2001",11892,6
"2023-11-12 14:46","Forest Indo Niaga","171","73","973",,3964,2
"2023-11-12 14:46","Sinergi Bestama Indonesia","187","73","111","4012",0,294
"2023-11-12 14:46","Sinergi Bestama Indonesia","187","73","941","2001",6937,6
"2023-11-12 14:46","VIU","198","67","941","2001",0,24
"2023-11-12 14:46","PT Metrane","210","67","941","2001",0,4
"2023-11-12 14:46","GMS AG (bulk)","239","66","938","2001",0,109
"2023-11-12 14:46","GMS AG (bulk)","239","66","940","5030",0,3
"2023-11-12 14:46","GMS AG (bulk)","239","66","940","5031",0,1
"2023-11-12 14:46","Monty Mobile (bulk)","240","66","938","2001",0,3
"2023-11-12 14:46","BPJS","242","67","111","4012",0,8
"2023-11-12 14:46","BPJS","242","67","941","2001",2429,7
"2023-11-12 14:46","SahabatMudaKreatif","252","73","111","4012",0,989
"2023-11-12 14:46","SahabatMudaKreatif","252","73","941","2001",5946,3
"2023-11-12 14:46","8Elements","254","73","111","4012",0,449
"2023-11-12 14:46","8Elements","254","73","23",,3964,4
"2023-11-12 14:46","8Elements","254","73","6",,991,1
"2023-11-12 14:46","8Elements","254","73","941","2001",21802,22
"2023-11-12 14:46","PT. Aman Devloop Indonesia","257","73","111","4012",0,168
"2023-11-12 14:46","PT. Aman Devloop Indonesia","257","73","991",,394418,398
"2023-11-12 14:46","Telesat_System_Integrator","261","73","111","4012",0,19
"2023-11-12 14:46","KEE_Digital","2895","72","9",,0,1
"2023-11-12 14:46","18 Box Media","2915","72","9",,0,1
"2023-11-12 14:46","18 Box Media","2915","73","111","4012",0,80
"2023-11-12 14:46","18 Box Media","2915","73","940","5031",0,5
"2023-11-12 14:46","Access Mobile","42","66","938","2001",0,1
"2023-11-12 14:46","Access Mobile","42","67","941","2001",0,4
"2023-11-12 14:46","Triyakom","50","66","938","2001",0,3
"2023-11-12 14:46","Triyakom","50","67","940","5030",0,18
"2023-11-12 14:46","Triyakom","50","67","941","2001",0,355
"2023-11-12 14:46","Triyakom","50","68","949","2001",18000,3
"2023-11-12 14:46","Triyakom","50","72","372","2001",0,7
"2023-11-12 14:46","Triyakom","50","72","987","2001",0,7
"2023-11-12 14:46","Triyakom","50","73","111","4012",0,653
"2023-11-12 14:46","Triyakom","50","73","6",,901,1
"2023-11-12 14:46","Triyakom","50","73","941","2001",46931,50
"2023-11-12 14:46","Triyakom","50","73","973",,1802,2
"2023-11-12 14:46","Utopia","51","73","111","4012",0,3178
"2023-11-12 14:46","Utopia","51","73","23",,86130,174
"2023-11-12 14:46","Utopia","51","73","6",,8730,16
"2023-11-12 14:46","Utopia","51","73","940","5031",0,3
"2023-11-12 14:46","Utopia","51","73","941","2001",3690,6
"2023-11-12 14:46","Utopia","51","73","973",,495,1
"2023-11-12 14:46","Utopia","51","73","991",,4860,9
"2023-11-12 14:46","Falcon","52","66","938","2001",0,6
"2023-11-12 14:46","Falcon","52","67","111","4012",0,1
"2023-11-12 14:46","Falcon","52","72","372","2001",0,10
"2023-11-12 14:46","Falcon","52","72","9",,0,8
"2023-11-12 14:46","Falcon","52","72","987","2001",0,10
"2023-11-12 14:46","Falcon","52","73","111","4012",0,2043
"2023-11-12 14:46","Falcon","52","73","6",,4955,5
"2023-11-12 14:46","Falcon","52","73","941","2001",66397,90
"2023-11-12 14:46","Fortumo","69","67","941","2001",0,2
"2023-11-12 14:46","Fortumo","69","68","111","4012",0,3
"2023-11-12 14:46","Fortumo","69","68","949","2001",2500,1
"2023-11-12 14:46","Codapay","74","66","938","2001",0,1
"2023-11-12 14:46","Codapay","74","67","41",,0,1
"2023-11-12 14:46","Codapay","74","67","715",,0,2
"2023-11-12 14:46","Codapay","74","67","941","2001",0,31
"2023-11-12 14:46","Codapay","74","68","949","2001",100773,12
"2023-11-12 14:46","Line","76","68","949","2001",59279,1
"2023-11-12 14:46","Celltick_Project","77","72","372","2001",0,6
"2023-11-12 14:46","Celltick_Project","77","72","987","2001",0,6
"2023-11-12 14:46","Celltick_Project","77","73","111","4012",0,844
"2023-11-12 14:46","Celltick_Project","77","73","23",,16218,18
"2023-11-12 14:46","Celltick_Project","77","73","6",,901,1
"2023-11-12 14:46","Celltick_Project","77","73","941","2001",18921,23
"2023-11-12 14:46","Celltick_Project","77","73","973",,4505,5
"2023-11-12 14:46","NetM_GooglePlay","78","66","938","2001",0,14
"2023-11-12 14:46","NetM_GooglePlay","78","67","941","2001",0,11
"2023-11-12 14:46","NetM_GooglePlay","78","68","111","4012",0,185
"2023-11-12 14:46","NetM_GooglePlay","78","68","948","5031",0,1
"2023-11-12 14:46","NetM_GooglePlay","78","68","949","2001",116344,11
"2023-11-12 14:47","MitraComm Ekasarana","100","66","938","2001",1000,2
"2023-11-12 14:47","MitraComm Ekasarana","100","67","111","4012",0,53
"2023-11-12 14:47","MitraComm Ekasarana","100","67","940","4010",0,2
"2023-11-12 14:47","MitraComm Ekasarana","100","67","940","5030",0,6
"2023-11-12 14:47","MitraComm Ekasarana","100","67","940","5031",0,1
"2023-11-12 14:47","MitraComm Ekasarana","100","67","941","2001",12800,16
"2023-11-12 14:47","SPRINT_Strata Prima Internusa","107","66","938","2001",8500,17
"2023-11-12 14:47","SPRINT_Strata Prima Internusa","107","66","940","4012",0,12
"2023-11-12 14:47","SPRINT_Strata Prima Internusa","107","67","111","4012",0,19
"2023-11-12 14:47","SPRINT_Strata Prima Internusa","107","67","940","5030",0,1
"2023-11-12 14:47","SPRINT_Strata Prima Internusa","107","67","941","2001",16000,21
"2023-11-12 14:47","Jatis Mobile","110","66","938","2001",0,1
"2023-11-12 14:47","Jatis Mobile","110","67","941","2001",495,1
"2023-11-12 14:47","Infinetworks CIMB Niaga","137","66","938","2001",450,1
"2023-11-12 14:47","Infinetworks CIMB Niaga","137","67","111","4012",0,2
"2023-11-12 14:47","Infinetworks CIMB Niaga","137","67","941","2001",4400,6
"2023-11-12 14:47","GENFLIX","154","73","941","2001",0,1
"2023-11-12 14:47","Emobile","156","66","940","4012",0,3
"2023-11-12 14:47","Emobile","156","67","111","4012",0,5
"2023-11-12 14:47","Emobile","156","67","941","2001",2800,4
"2023-11-12 14:47","Era Digital Media","164","66","938","2001",0,1
"2023-11-12 14:47","Era Digital Media","164","72","372","2001",0,30
"2023-11-12 14:47","Era Digital Media","164","72","9",,0,5
"2023-11-12 14:47","Era Digital Media","164","72","987","2001",0,30
"2023-11-12 14:47","Era Digital Media","164","73","111","4012",0,3180
"2023-11-12 14:47","Era Digital Media","164","73","6",,14865,15
"2023-11-12 14:47","Era Digital Media","164","73","940","4010",0,1
"2023-11-12 14:47","Era Digital Media","164","73","941","2001",49550,83
"2023-11-12 14:47","Era Digital Media","164","73","973",,18829,19
"2023-11-12 14:47","Yatta Eracipta Solusi","166","73","111","4012",0,574
"2023-11-12 14:47","Yatta Eracipta Solusi","166","73","23",,37658,19
"2023-11-12 14:47","Yatta Eracipta Solusi","166","73","6",,9910,5
"2023-11-12 14:47","Yatta Eracipta Solusi","166","73","940","5031",0,1
"2023-11-12 14:47","Yatta Eracipta Solusi","166","73","941","2001",1982,2
"2023-11-12 14:47","Forest Indo Niaga","171","73","111","4012",0,644
"2023-11-12 14:47","Forest Indo Niaga","171","73","941","2001",1982,1
"2023-11-12 14:47","Forest Indo Niaga","171","73","973",,15856,8
"2023-11-12 14:47","Sinergi Bestama Indonesia","187","73","111","4012",0,284
"2023-11-12 14:47","Sinergi Bestama Indonesia","187","73","6",,2973,2
"2023-11-12 14:47","Sinergi Bestama Indonesia","187","73","941","2001",2973,3
"2023-11-12 14:47","Digital HUB Accenture","191","66","938","2001",0,1
"2023-11-12 14:47","Digital HUB Accenture","191","67","941","2001",0,2
"2023-11-12 14:47","VIU","198","67","941","2001",0,21
"2023-11-12 14:47","LinkIT_360","206","73","111","4012",0,605
"2023-11-12 14:47","LinkIT_360","206","73","941","2001",11892,6
"2023-11-12 14:47","GMS AG (bulk)","239","66","938","2001",0,120
"2023-11-12 14:47","GMS AG (bulk)","239","66","940","5031",0,1
